id,label,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
6426,3267,Independant release,,0,2012-09-23 21:00:20.784785+02,2,Independant release,,,,,,,f,f
6564,3267,[самиздат],ru,0,2012-07-15 17:00:12.198907+02,,samizdat,,,,,,,f,f
669,3267,[none],,0,2012-09-23 20:58:12.617708+02,2,[none],,,,,,,f,f
5806,3267,None,,0,2012-09-23 20:58:52.954231+02,2,None,,,,,,,f,f
6311,3267,Self-release,,0,2012-09-23 20:59:48.183758+02,2,Self-release,,,,,,,f,f
5006,3267,Independent,,0,2012-09-23 21:00:28.825553+02,2,Independent,,,,,,,f,f
1533,3267,independent release,,0,2012-09-23 21:00:37.870773+02,2,independent release,,,,,,,f,f
7526,3267,www.sonicmayhem.com,,0,2013-03-27 18:00:17.800582+01,,www.sonicmayhem.com,,,,,,,f,f
2886,3267,N/A,,0,2012-09-23 21:00:46.976766+02,2,N/A,,,,,,,f,f
3895,3267,Unsigned,,0,2012-09-23 21:01:05.865948+02,2,Unsigned,,,,,,,f,f
4096,3267,white label,,0,2012-09-23 21:01:17.361662+02,2,white label,,,,,,,f,f
5268,3267,auto-release,,0,2012-09-23 21:01:45.046002+02,2,auto-release,,,,,,,f,f
7839,3267,[no label,,0,2013-09-01 15:52:13.006726+02,2,[no label,,,,,,,f,f
6836,3267,[ilma plaadifirmata],et,0,2012-09-23 21:02:22.178445+02,,[ilma plaadifirmata],,,,,,,f,f
6837,3267,[puudub],et,0,2012-09-23 21:02:58.907891+02,,[puudub],,,,,,,f,f
15672,3267,Independiente,,0,2013-09-08 11:38:59.249242+02,2,Independiente,,,,,,,f,f
15671,3267,Autoedición,,0,2013-09-08 11:39:29.70884+02,2,Autoedición,,,,,,,f,f
1153,3267,Auto production,,0,2013-09-08 11:39:19.198797+02,2,Auto production,,,,,,,f,f
6456,3267,Autoeditado,,0,2013-09-08 11:39:56.140799+02,2,Autoeditado,,,,,,,f,f
6688,3267,D.I.Y.,,0,2013-09-08 11:40:03.842918+02,2,D.I.Y.,,,,,,,f,f
7249,3267,INDIPENDANT,,0,2013-09-08 11:40:31.632191+02,2,INDIPENDANT,,,,,,,f,f
7468,3267,No Label,,0,2013-09-08 11:40:33.956508+02,2,No Label,,,,,,,f,f
7608,3267,Not On A Lebel,,0,2013-09-08 11:40:36.862491+02,2,Not On A Lebel,,,,,,,f,f
7029,3267,Self Release,,0,2013-09-08 11:40:39.325484+02,2,Self Release,,,,,,,f,f
109,717,EMI Electrola GmbH,,0,2012-05-15 20:57:13.252186+02,,EMI Electrola GmbH,,,,,,,f,f
1174,7512,Квадро,,0,2012-05-15 20:57:13.252186+02,,Квадро,,,,,,,f,f
1239,132,Planet µ,,0,2012-05-15 20:57:13.252186+02,,Planet µ,,,,,,,f,f
1454,752,Cherry Red,,0,2012-05-15 20:57:13.252186+02,,Cherry Red,,,,,,,f,f
2170,3267,blank,,0,2013-09-08 11:40:01.132579+02,2,blank,,,,,,,f,f
2458,1378,Liberation Records,,0,2012-05-15 20:57:13.252186+02,,Liberation Records,,,,,,,f,f
2631,717,EMI Electrola GmbH & Co. KG,,0,2012-05-15 20:57:13.252186+02,,EMI Electrola GmbH & Co. KG,,,,,,,f,f
4932,3267,MSK.fm,,0,2012-05-15 20:57:13.252186+02,,MSK.fm,,,,,,,f,f
5166,3267,Auto-Product,,0,2013-09-08 11:39:22.371721+02,2,Auto-Product,,,,,,,f,f
5489,3267,Self-released,,0,2012-09-23 21:00:58.102617+02,2,Self-released,,,,,,,f,f
5985,3267,autoprod.,,0,2013-09-08 11:39:58.2577+02,2,autoprod.,,,,,,,f,f
6043,3267,Indie,,0,2013-09-08 11:40:28.763968+02,2,Indie,,,,,,,f,f
5946,3267,Indepandant,,0,2012-09-23 21:00:13.503698+02,2,Indepandant,,,,,,,f,f
5960,3267,self,,0,2012-09-23 21:01:27.25161+02,2,self,,,,,,,f,f
6387,3267,Not On Label,,0,2012-09-23 20:59:12.971938+02,2,Not On Label,,,,,,,f,f
6358,3267,Self Released,,0,2012-09-23 20:59:31.335176+02,2,Self Released,,,,,,,f,f
