"formerCallsign"
"KFTI (2001–2010)"
"KGFI (1929–1936)"
"WMFS (1995–2009)"
"WRCK (2010–2012)"
"KHDR-FM (1997–2000)"
"WKSR-FM (1995-2014)"
"WLQR (March 11–15, 2016)"
"WCOU (1938–1988)"
"WYNF-FM (1981–93)"
"WPHR (1999&ndash;2001)"
"WAFM (1947-1958)"
"WBYC (1981-1985)"
"WRKO-FM (1957&ndash;68)"
"KTMT (1999–2008)"
"KKBH (1985-1987)"
"WNYZ (1985-1989)"
"WCNT (1990-1993)"
"KYNO (2012-2021)"
"KPER (1957–1967)"
"KCMO-FM (1950-1968)"
"WLEL (1989-1991)"
"KMGR (1984–1992)"
"WTRK (1986&ndash;1987)"
"KRGF (1989)"
"WCIR (1967-1981; 1985-1990)"
"WCDG (2004–2010)"
"KHIT(1987-1988)"
"WDCT (1985-Present)"
"WTGM (1973-1978)"
"WLZR-FM (1987–2005)"
"WYAY (2019)"
"KPBR (2006-2009)"
"KZLS (2008-2013)"
"KQOK"
"WWTE (June 24, 2003-May 9, 2006)"
"WLLZ (1982-1985)"
"94)"
"KEZL (1974-1984)"
"1979)"
"WMTX (1991-1997)"
"KHFI-FM (1956–1990)"
"XEXB (1950s&ndash;1979?)"
"KANQ (1995-1996)"
"1999)"
"KULE-FM (1990-2013)"
"WKIQ (1984-1987)"
"KDDB (1982-1999)"
"WCSQ (2003-2005)"
"WTLN-FM (1968-1999)"
"KTXL (1947–1961)"
"WLAS (1992-1998)"
"WBGK (1986–1987)"
"KLBP-LP (2016-2017)"
"WLLY (1955–1959)"
"DXWM(2008-2015)"
"WCMJ (1969–78)"
"WHKW (2001)"
"KEYJ (1985-1986, CP)"
"KAJR-FM (1985-1987)"
"WYYN (1983-1987)"
"WKLV-FM (2011–2019)"
"WINN (1941-1982)"
"WQSN (2017-Present)"
"KWRT-FM (1974–1977)"
"KFDM (1924–1963)"
"WLJJ (1993-1994)"
"WGZS (1982–1984)"
"XHRBN-FM (1994-August 5, 1996), XHFJ-FM (August 5, 1996-November 11, 2003)"
"KBHT (1987-2013) KBPC (2013-2020)"
"WSHG (1990-1997)"
"KDYL (1960–1982)"
"WPPD (1998-1999)"
"1988)"
"WQLT (1967-1978)"
"WRBT (1989–1996)"
"KPTY (1994–95)"
"KRAZ (1961–1962)"
"WMMK (1981-2004)"
"WHFD (1968-1989)"
"WYOM (1988-1989)"
"WTHN (1995–2001)"
""
"WRCY (1999-2022)"
"WENN (2008-2009)"
"KCKI"
"CKY (1949-2004)"
"WPLC (2000–2004)"
"WCIM (2007-2021)"
"KKTN (2004-2006)"
"WBGB (1983-1997)"
"WPYA (2004)"
"WYBL (1999&ndash;2003)"
"W47PH (1941)"
"WSNI (1998-2001)"
"WMCF (1972–1980)"
"2004)"
"KQEZ (1981–1993)"
"CHEX (1942-1992)"
"WKTQ (1981–1984)"
"2CH"
"WEAJ (August-October 1993)"
"WBUS (1997-2019)"
"1989, CP)"
"KFMD (1967-1984)"
"WKDN (1986–2012)"
"KANR (1994-2013)"
"KJTZ (2004–2011)"
"KXCC-FM (1984–1986)"
"WMRK (1978-2009)"
"XECMQ-AM (1996-2004)"
"KEMM (1981-2001)"
"KSMJ (1998–2000)"
"WNRV-FM (1998–1999)"
"KZNE (2000)"
"KADM (1963-1964)"
"KFGX (1996-2000)"
"KLME (2019–2020)"
"KHTB (2004-2015)"
"WKID (until March 6, 1947; never used on-air)"
"KXHM (1990-1994)"
"WRNL-FM (1949–73)"
"WEMP (1955–2004)"
"KMVI (1947-2013)"
"KBBY-FM(1966-1969)"
"WWEG (1979-1983)"
"KDFX (1994-1995, CP)"
"WMSH-FM (1964-1969)"
"WXMS (2018-2022)"
"KRKR (1996-1998)"
"1996, CP)"
"KCMN (1982–2015)"
"KQEZ (2012–2015)"
"KAKP-LP (2017–2019)"
"WSWD (2008–2009)"
"WJNA (1996-1997)"
"KTFX (1995-1999)"
"KGBU (1983-1988)"
"WYJK-FM (2012-2014)"
"WFIV (1965–2000)"
"WWWJ (1997-2016)"
"WAZS-FM (2004–2009)"
