title_id,lorange,hirange,royalty
0,0,5000,10
0,5001,50000,12
6,0,2000,10
6,2001,3000,12
6,3001,4000,14
6,4001,10000,16
6,10001,50000,18
2,0,1000,10
2,1001,3000,12
2,3001,5000,14
2,5001,7000,16
2,7001,10000,18
2,10001,12000,20
2,12001,14000,22
2,14001,50000,24
9,0,1000,10
9,1001,5000,12
9,5001,10000,14
9,10001,50000,16
10,0,2000,10
10,2001,5000,12
10,5001,10000,14
10,10001,50000,16
5,0,1000,10
5,1001,2000,12
5,2001,4000,14
5,4001,6000,16
5,6001,8000,18
5,8001,10000,20
5,10001,12000,22
5,12001,50000,24
13,0,2000,10
13,2001,4000,12
13,4001,6000,14
13,6001,8000,16
13,8001,10000,18
13,10001,12000,20
13,12001,14000,22
13,14001,50000,24
7,0,5000,10
7,5001,10000,12
7,10001,15000,14
7,15001,50000,16
12,0,5000,10
12,5001,50000,12
11,0,5000,10
11,5001,10000,12
11,10001,15000,14
11,15001,50000,16
1,0,4000,10
1,4001,8000,12
1,8001,10000,14
1,12001,16000,16
1,16001,20000,18
1,20001,24000,20
1,24001,28000,22
1,28001,50000,24
4,0,2000,10
4,2001,4000,12
4,4001,8000,14
4,8001,12000,16
4,12001,20000,18
4,20001,50000,20
15,0,5000,10
15,5001,15000,12
15,15001,50000,14
14,0,2000,10
14,2001,8000,12
14,8001,16000,14
14,16001,24000,16
14,24001,32000,18
14,32001,40000,20
14,40001,50000,22
3,0,5000,10
3,5001,10000,12
3,10001,15000,14
3,15001,20000,16
3,20001,25000,18
3,25001,30000,20
3,30001,35000,22
3,35001,50000,24
8,0,10000,10
8,10001,20000,12
8,20001,30000,14
8,30001,40000,16
8,40001,50000,18
