pid,rid,recordtype
71,71,Analytic-of-Proceedings
127,127,Analytic-of-Proceedings
130,130,Analytic-of-Proceedings
552,552,Analytic-of-Proceedings
561,561,Analytic-of-Proceedings
742,742,Analytic-of-Proceedings
874,874,Analytic-of-Proceedings
919,919,Analytic-of-Proceedings
942,942,Analytic-of-Proceedings
949,949,Analytic-of-Proceedings
964,964,Analytic-of-Proceedings
1020,1020,Analytic-of-Proceedings
1034,1034,Analytic-of-Proceedings
1062,1062,Analytic-of-Proceedings
1068,1068,Analytic-of-Proceedings
1114,1114,Analytic-of-Proceedings
1136,1136,Analytic-of-Proceedings
1244,1244,Analytic-of-Proceedings
1500,1500,Analytic-of-Proceedings
143,143,CONFERENCE-VOLUME-ANALYTIC
193,193,CONFERENCE-VOLUME-ANALYTIC
203,203,CONFERENCE-VOLUME-ANALYTIC
207,207,CONFERENCE-VOLUME-ANALYTIC
279,279,CONFERENCE-VOLUME-ANALYTIC
291,291,CONFERENCE-VOLUME-ANALYTIC
18,18,Journal-Article
52,52,Journal-Article
66,66,Journal-Article
582,582,Journal-Article
907,907,Journal-Article
940,940,Journal-Article
988,988,Journal-Article
1357,1357,Journal-Article
1363,1363,Journal-Article
1455,1455,Journal-Article
140,140,JOURNAL-ARTICLE
186,186,JOURNAL-ARTICLE
306,306,JOURNAL-ARTICLE
500,500,JOURNAL-ARTICLE
585,585,Meeting-Paper
658,658,Meeting-Paper
667,667,Meeting-Paper
675,675,Meeting-Paper
686,686,Meeting-Paper
1273,1273,Meeting-Paper
1333,1333,Meeting-Paper
1334,1334,Meeting-Paper
1474,1474,Meeting-Paper
1476,1476,Meeting-Paper
260,260,MEETING-PAPER
377,377,MEETING-PAPER
350,350,REPORT
436,436,REPORT
344,344,
