64bit processing,<page title>,aspect ratio,audio line in,audio line out,backlight technology,brand name,cache,certifications standards,chipset manufacturer,chipset model,controller type,direct media interface,display screen technology,display screen type,displayport,ethernet technology,features,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdcp supported,hyperthreading,input voltage,keyboard,keyboard localization,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum memory,maximum power supply wattage,maximum turbo speed,memory form factor,memory standard,memory technology,network rj45,number of external 525 bays,number of internal 25 bays,number of mini pci express slots,number of msata interfaces,number of mxm slots,number of processors installed,number of processors supported,number of total expansion bays,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product name,product series,product type,raid supported,screen mode,screen resolution,screen size,software included,standard memory,total hard drive capacity,total number of usb ports,touchscreen,width,depth,hard drive interface,hard drive rpm,height,keyboard type,number of m2 interfaces,number of usb 20 ports,vga,vpro technology,weight approximate,wireless lan,wireless lan standard,color,esata,firewireilink,hdmi,hybrid hard drive capacity,hybrid hard drive interface,modem,modem rj11,optical drive type,optical media supported,product model,ssd cache capacity,memory card reader,number of optical drives,bluetooth,bluetooth standard,microphone,webcam,dvi,solid state drive interface,total solid state drive capacity,number of 35 bays,number of pci express x1 slots,number of pci express x16 slots,duallayer media supported,number of pci slots,raid levels,graphics controller interface,graphics memory capacity,compatibility,device supported,print color,flash memory,headphonemicrophone combo port,clock speed,l1 cache,l2 cache,l3 cache,number of monitors supported,overclocking speed,package type,platform supported,process technology,processor socket,processor technology,thermal design power,thermal specification,memory card supported,multitouch screen,connectivity technology,host interface,system requirements,media type,power source,recommended use,operating power consumption,standby power consumption,usb,usb standard,adjustable display angle,brightness,contrast ratio,horizontal viewing angle,maximum resolution,number of screens,panel technology,response time,screen surface,vertical viewing angle
Yes,HP EliteOne 800 G1 All-in-One PC (ENERGY STAR) - G5R41UT#ABA,16 : 9,Yes,Yes,LED,HP,6 MB,UL CSA FCC Compliance CCC SEPA TAA Compliant ACPI,Intel,Q87 Express,Serial ATA/600,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,Yes,Gigabit Ethernet,Security Slot,Desktop,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"TCO Certified Edge , CECP , ErP/EuP Lot 6 , Eco-label , IT Eco Declaration , RoHS , EU RoHS , WEEE , EU WEEE , ENERGY STAR , EPEAT Gold",Yes,Yes,No,"120 V AC , 230 V AC",Yes,English ( US ),3 Year,Hewlett-Packard,G5R41UT # ABA,http : //www.hp.com/ca,16 GB,200 W,3.70 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,Windows 7 Professional ( English ),64-bit,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ) Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel,i5-4590S,3 GHz,Core i5,EliteOne,EliteOne 800 G1 All-in-One PC ( ENERGY STAR ),800 G1,All-in-One Computer,Yes,Full HD,1920 x 1080,23 '',"Security : Device Access Manager Drive Encryption File Sanitizer ( Activated via Wizard ) Disk Sanitizer ( External Version ) Microsoft Security Essentials Security Manager HP Value Add : HP ePrint Driver HP PageLift HP Support Assistant HP Recovery Disk Creator 3rd Party : Adobe Flash Player PDF Complete , Corporate Edition Skype",4 GB,500 GB,6.0,No,22 '' ( 558.8 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP Business Desktop ProDesk 600 G1 Desktop Computer - K1K21UT#ABA,,Yes,Yes,,HP,3 MB,,Intel,Q85 Express,Serial ATA,5 GT/s,,,Yes,Gigabit Ethernet,,Mini PC Mini PC,Intel Intel,HD Graphics 4400,Shared,DDR3 SDRAM,ENERGY STAR,Yes Yes,,Yes,,Yes,,3 Year,Hewlett-Packard,K1K21UT # ABA,http : //www.hp.com/ca,,65 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,,,,1.0,1.0,,,2.0,4.0,Windows 7 Professional Upgradable to Windows 8.1 Pro Windows 7 Professional,64-bit,ProDesk 600 G1 Desktop Mini PC ( ENERGY STAR ) KeyboardMouse Windows 8.1 Pro Media,Mouse,Dual-core ( 2 Core ),Intel Intel,i3-4160T i3-4160T,3.10 GHz 3.10 GHz,Core i3 Core i3,Business Desktop,ProDesk 600 G1 Desktop Mini PC ( ENERGY STAR ),ProDesk 600 G1,Desktop Computer Desktop Computer,,,,,HP Client SecurityMicrosoft Security Essentials,4 GB 4 GB,500 GB,6.0,,6.9 '' ( 175.3 mm ),7 '' ( 177.8 mm ),Serial ATA,7200.0,1.3 '' ( 33 mm ),Physical Keyboard,2.0,2.0,Yes,No,1.32 kg,Yes,IEEE 802.11a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10AB000KUS Desktop Computer,,Yes,Yes,,Lenovo,4 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AB000KUS,http : //www.lenovo.com/ca/en,16 GB,65 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,5.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M93p 10AB000KUS Desktop ComputerKeyboardMouseAC/DC AdapterExternal Optical BoxVESA MountWindows 8 Professional License Media,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,ThinkCentre M93p 10AB000KUS Desktop Computer,M93p,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,,5.0,,7.2 '' ( 182.9 mm ),7.2 '' ( 182.9 mm ),,,2.6 '' ( 64.8 mm ),,,,Yes,Yes,2.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,No,Yes,500 GB,Serial ATA/600,No,No,DVD-Writer,DVDÂ±R/Â±RW,10AB000KUS,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M73 10AY001RUS Desktop Computer,,Yes,Yes,,Lenovo,3 MB,,Intel,H81 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD 4400,Shared,DDR3 SDRAM,"RoHS , GREENGUARD , ENERGY STAR 5.2",Yes,,Yes,"110 V AC , 220 V AC",Yes,,3 Year,Lenovo Group Limited,10AY001RUS,http : //www.lenovo.com/ca/en,16 GB,65 W,,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,Windows 7 Professional,64-bit,ThinkCentre M73 10AY001RUS Desktop Computer Keyboard Mouse Power Adapter,Mouse,Dual-core ( 2 Core ),Intel,i3-4130T,2.90 GHz,Core i3,ThinkCentre,ThinkCentre M73 10AY001RUS Desktop Computer,M73,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus defi nitions ) Adobe Reader Skype Evernote Microsoft Offi ce preloaded ; purchase a product key to activate Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,4 GB,500 GB,5.0,,7 '' ( 177.8 mm ),7.2 '' ( 182.9 mm ),Serial ATA/600,7200.0,1.4 '' ( 35.6 mm ),,,3.0,Yes,No,1.32 kg,Yes,IEEE 802.11b/g/n,Business Black,No,No,,,,,,,,10AY001RUS,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M73z 10BC0004US All-in-One Computer,16 : 9,Yes,Yes,LED,Lenovo,6 MB,,Intel,H81 Express,Serial ATA,5 GT/s,,Active Matrix TFT Color LCD,,Gigabit Ethernet,Security Slot,Desktop Desktop,Intel,HD 4600,Shared,DDR3L SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , GREENGUARD , RoHS , EuP",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10BC0004US,http : //www.lenovo.com/ca/en,16 GB,150 W,3.60 GHz,SoDIMM,DDR3L-1600/PC3-12800,DDR3L SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro Windows 7 Professional,64-bit,ThinkCentre M73z 10BC0004US All-in-One Computer Keyboard Mouse Monitor Stand Windows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel,i5-4570S i5-4570S,2.90 GHz 2.90 GHz,Core i5 Core i5,ThinkCentre,ThinkCentre M73z 10BC0004US All-in-One Computer,M73z,All-in-One Computer All-in-One Computer,,HD+,1600 x 900 1600 x 900,20 '' 20 '',ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Device Experience ThinkVantage AutoLock Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office preloaded ; purchase a product key to activate Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Nitro Pro,4 GB 4 GB,500 GB,6.0,No,22.4 '' ( 569 mm ),9.7 '' ( 246.4 mm ),Serial ATA/600,7200.0,21.7 '' ( 551.2 mm ),,,4.0,Yes,,11.57 kg,Yes,IEEE 802.11b/g/n,Business Black Business Black,,No,,,,No,No,DVD-Writer,DVDÂ±R/Â±RW,10BC0004US,,Yes,,Yes,Bluetooth 4.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M93p 10AB0010US Desktop Computer,,Yes,Yes,,Lenovo,4 MB,,Intel,Q87 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AB0010US,http : //www.lenovo.com/ca/en,16 GB,65 W,,,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,ThinkCentre M93p 10AB0010US Desktop ComputerKeyboardMouseAC/DC AdapterFloor standWindows 8 Professional License Media,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,ThinkCentre M93p 10AB0010US Desktop Computer,M93p,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ; purchase a product key to activate Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,4 GB,500 GB,2.0,,7 '' ( 177.8 mm ),7.2 '' ( 182.9 mm ),Serial ATA/600,7200.0,1.4 '' ( 35.6 mm ),,,,Yes,Yes,1.32 kg,Yes,IEEE 802.11b/g/n,Business Black,No,No,,,,No,No,,,10AB0010US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M73 10AY0020US Desktop Computer,,Yes,Yes,,Lenovo,4 MB,,Intel,H81 Express,Serial ATA/600,,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD 4600,Shared,DDR3 SDRAM,"GREENGUARD , RoHS , ENERGY STAR 5.2 , EPEAT Gold",Yes,,Yes,,Yes,,3 Year,Lenovo Group Limited,10AY0020US,http : //www.lenovo.com/ca/en,16 GB,65 W,3.60 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,Windows 7 Professional,64-bit,ThinkCentre M73 ( 10AY-0020US ) Keyboard Mouse Power Adapter,Mouse,Dual-core ( 2 Core ),Intel,i5-4570T,2.90 GHz,Core i5,ThinkCentre,ThinkCentre M73 ( 10AY-0020US ),M73,Desktop Computer,,,,,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Power Manager View Management Utility PC Device Stage Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office Preloaded ( Purchase Product Key to Activate ) Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,4 GB,,5.0,,7 '' ( 177.8 mm ),7.2 '' ( 182.9 mm ),,,1.4 '' ( 35.6 mm ),,,3.0,Yes,,1.30 kg,Yes,IEEE 802.11b/g/n,Business Black,No,,,,,,,,,10AY0020US,,No,No,Yes,Bluetooth 4.0,,,No,Serial ATA/600,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP Business Desktop ProDesk 600 G1 Desktop Computer - G5R55UT#ABC,,Yes,Yes,,HP,6 MB,ACPI TAA Compliant,Intel,Q85 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Desktop Mini Desktop Mini,Intel Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"Eco-label , IT Eco Declaration , RoHS , WEEE , EU WEEE , EU RoHS , ENERGY STAR",Yes Yes,Yes,No,"120 V AC , 230 V AC",Yes,French,3 Year,Hewlett-Packard,G5R55UT # ABC,http : //www.hp.com/ca,16 GB,65 W,3 GHz,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,1.0,,,,1.0,1.0,1.0,,2.0,4.0,Windows 7 Professional ( French ) Windows 7 Professional,64-bit,ProDesk 600 G1 Desktop Mini PC ( ENERGY STAR ) Keyboard Mouse Power Adapter,Mouse,Quad-core ( 4 Core ),Intel Intel,i5-4590T i5-4590T,2 GHz 2 GHz,Core i5 Core i5,Business Desktop,ProDesk 600 G1 Desktop Mini PC ( ENERGY STAR ),ProDesk 600 G1,Desktop Computer Desktop Computer,,,,,"Security : Device Access Manager Drive Encryption File Sanitizer ( Activated via Wizard ) Disk Sanitizer ( external version ) Microsoft Security Essentials HP Client Security MultiMedia : Cyberlink Power DVD , BD Cyberlink Power2Go ( Secure Burn ) HP Value Add : HP ePrint Driver HP PageLift HP Support Assistant HP Recovery Disk Creator 3rd Party : Adobe Flash Player Bing Search for Internet Explorer 10 Box PDF Complete , Corporate Edition Skype",4 GB 4 GB,,6.0,,6.9 '' ( 175.3 mm ),7 '' ( 177.8 mm ),,,1.3 '' ( 33 mm ),,,2.0,Yes,,1.32 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP Business Desktop ProDesk 600 G1 Desktop Computer - G5R60UT#ABA,,Yes,Yes,,HP,6 MB,ACPI TAA Compliant,Intel,Q85 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Small Form Factor,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"Eco-label , IT Eco Declaration , RoHS , WEEE , EU WEEE",Yes,Yes,No,"120 V AC , 230 V AC",Yes,English ( US ),3 Year,Hewlett-Packard,G5R60UT # ABA,http : //www.hp.com/ca,32 GB,240 W,3.70 GHz,DIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,1.0,1.0,,,,1.0,1.0,4.0,4.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8.1 Pro ( English ),64-bit,ProDesk 600 G1 Small Form Factor PC Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel,i5-4590,3.30 GHz,Core i5,Business Desktop,ProDesk 600 G1 Small Form Factor PC,ProDesk 600 G1,Desktop Computer,,,,,,4 GB,,10.0,,13.3 '' ( 337.8 mm ),14.9 '' ( 378.5 mm ),,,4 '' ( 100.3 mm ),,,6.0,Yes,,7.57 kg,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Lenovo ThinkCentre M73 10AY001RCA Desktop Computer,,Yes,Yes,,Lenovo,3 MB,,Intel,H81 Express,Serial ATA/600,5 GT/s,,,Yes,Gigabit Ethernet,Security Slot,Tiny,Intel,HD 4400,Shared,DDR3 SDRAM,"RoHS , GREENGUARD , ENERGY STAR 5.2",Yes,,Yes,"110 V AC , 220 V AC",Yes,French,,Lenovo Group Limited,10AY001RCA,http : //www.lenovo.com/ca/en,16 GB,65 W,,SoDIMM,DDR3-1600/PC3-12800,DDR3 SDRAM,Yes,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,Windows 7 Professional ( French ),64-bit,ThinkCentre M73 10AY001RCA Desktop Computer Keyboard Mouse Power Adapter,Mouse,Dual-core ( 2 Core ),Intel,i3-4130T,2.90 GHz,Core i3,ThinkCentre,ThinkCentre M73 10AY001RCA Desktop Computer,M73,Desktop Computer,,,,,,4 GB,500 GB,5.0,,7 '' ( 177.8 mm ),7.2 '' ( 182.9 mm ),Serial ATA/600,7200.0,1.4 '' ( 35.6 mm ),,,3.0,Yes,No,1.32 kg,Yes,IEEE 802.11b/g/n,Business Black,No,,,,,,,,,10AY001RCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
