<page title>,bluetooth,cameras included,condition,cpu,dimensions l x w x h,display,displayports,front camera,headphones jack,memory type,micro sd card reader,operating system,platform,screen size,storage capacity,stylus included,usb 30 ports,weight,audio chipset,battery type,capacity,color,communications description,depth,display type,drive types,gpuvpu,hddssd drives included,hdmi ports,height,integrated webcam,interface type,keyboard type,lan ports,maximum memory supported,maximum resolution,media types,memory slots total free,mouse type,operating systems,optical drive,optional operating systems,processor brand,processor class,processor number,processor speed,processor type,protocols,specification notes,supplemental drive capacity,total memory size,touch screen,usb ports powered included in total,vga ports,width,â,audio description,data transfer rate,dell,firewire ports,lifestyle,limited warranty,memory slots total,port replicatorconnector,usb ports total,audio out jacks,graphics,integrated microphone,lenovo,colors,connection type,dvi video,form factor,hard drive types,hard drives included,interface,lan chipset,lan data transfer rate,lan description,lan interface type,memory configuration,motherboard slots total free,optical drive class,orientations allowed,power,processor interface,ram speed,serial communication ports,speed,startup operating system,hard drive speed,supplemental drive type,video memory,line in jacks,optical drive type,processors onboard,processors supported,wifi description,aspect ratio,back camera,battery run time,display size,memory capacity,micro usb connector,touch screen type,usb 20 ports,microphone jacks,builtin microphone,builtin speaker,power supply type,supplemental media type,webcam features,webcam resolution,wifi chipset,wifi standards supported,memory speed,memory speed mhz,backlit keyboard,hp,channels,audio channels,external bays total free,internal bays total free,compatible raid levels,external 35 drive bays,external 525 drive bays,hard drive interface,internal 35 drive bays,memory slots available,pci express x4 slots total,pci express x8 slots total,processor cache,total storage included,type,battery life,ps2 connectors,modem ports,cpu type,software included,cpu quantity,pci express x16 slots total,pci slots total,storage controller,pci express x1 slots total,memory size
"Microsoft Surface Pro 3 Intel Core i5 256GB Storage 12 Tablet, WiFi, Windows 8.1 Pro 64-bit - PS2-00001 at TigerDirect.com",Yes,2 - Front & Rear,New,Intel Core i5-4300U 1.6GHz,7.93 in x 11.5 in x 0.36 in,2160 x 1440,Yes,5MP,1,LPDDR3,Yes,Windows 8.1 Pro,Windows,12 '',256GB,Yes,1.0,1.76 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad Edge E545 Notebook PC - AMD A6-5350M 2.90GHz, 4GB Memory, 320GB HDD, 15.6 Display, Windows 7/8 Pro 64-bit - 20B20011US at TigerDirect.com",,,New,,,,,,,DDR3L,,,Laptop,15.6 '',,,,5.2 lbs,High Definition Audio,6-Cell Lithium-ion,320GB,Black,Integrated LAN,9.65 '',Anti-glare LED backlight,HDD,AMD Radeon 8450G,1x 320GB,1,1.12 '',Yes,RJ-45 Ethernet Connector,Standard Size,1 - RJ-45,16GB,1366 x 768,"MMC , SD , SDHC , SDXC",2 Slots,Integrated Touchpad,Windows 7 Professional 64-Bit,DVDRW,Windows 8 Pro 64-Bit,AMD,A6,5350M,2.90GHz,Dual-Core,802.11b,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",4-in-1,4GB,No,1 - USB 2.0,1,14.84 '',802.11n 802.11g Integrated Wireless LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude E5420 Intel Core i5 4GB Memory 250GB HDD 14.0 Notebook (Off-Lease) - Windows 7 Professional 64-bit RB-794504593464 at TigerDirect.com,,,Off-Lease,,,,,,,DDR3,,,Laptop,14 '',,,,4.50 lbs,,6-Cell Lithium-ion,250GB,,Integrated LAN,9.45 '',HD Anti-Glare LED,HDD,Intel HD Graphics 3000,1x 250GB,1,1.28 '',Yes,RJ-45 Ethernet Connector,,1 - RJ-45,,1366 x 768,,,,Windows 7 Professional 64-Bit,DVDRW,,Intel,Core i5,2520M,2.5GHz,Dual-Core,802.11a,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,,,1,13.78 '',802.11n 802.11g Integrated Wireless LAN,Integrated Audio,10/100/1000 Gigabit Ethernet LAN,logos are registered trademarks of DELL . All others trademarks and copyrights mentioned herein are the property of their respective owners . U.S Micro Corporation 12 months parts ; 12 months labor RB-794504593464 794504593464 6.4000 pound ( s ) 10pounds What is Dimensional weight ? Click here for full warranty and support information,1394,Business,"USI-102339800 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",2.0,1 - Docking Connector,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad T410 Intel Core i5 4GB Memory 320GB HDD 14.0 Notebook Windows 7 Professional 64-bit (Off-Lease) - RB-825633377813 at TigerDirect.com,,,Off-Lease,,,,,,,DDR3,,,Laptop,14.1 '',,,,5.3 lbs,High Definition Audio,Lithium-Ion,320GB,,Integrated LAN,9.4 '',WXGA Liquid Crystal Display,HDD,,1x 320GB,,1.3 '',,RJ-11 Phone Connector,Standard Size,1 - RJ-45,4GB,,,2 Slots,Integrated Touchpad,Windows 7 Professional 64-Bit,DVDRW,,Intel,Core i5,,2.4GHz,Dual-Core,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,No,,,13.2 '',Integrated Wireless LAN Integrated Modem RJ-45 Ethernet Connector,Integrated Audio,,,,,"JOS-102314127 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",,,3,1 - Headphone/line-out,Integrated Graphics,Yes,logos are registered trademarks of Lenovo . All others trademarks and copyrights mentioned herein are the property of their respective owners . Joy Systems 12 months parts ; 12 months labor RB-825633377813 825633377813 8.0000 pound ( s ) 10pounds What is Dimensional weight ? Click here for full warranty and support information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Veriton Desktop PC - Intel Core i7-4770 3.40GHz, 8GB Memory, 1TB HDD, DVDRW, Windows 7/8 Pro 64-bit - VM6630G-I74771X at TigerDirect.com",,,New,,,,2,,,DDR3,,,PC,,,,,,High Definition Audio,,1TB,,,17.8 '',Monitor Not Included,,,,,14.8 '',,,,1,32GB,,,4 Slots Total / 2 Free,,Windows 7 Professional 64-Bit,,Windows 8 Pro 64-Bit,Intel,Core i7,i7-4770,3.40GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,8GB,,,1,7.1 '',Windows 8 Pro 64-Bit 1 - PCI Slot 1 - PCI Express X1 Slot 2 - USB 3.0,Integrated Audio,,,,Business,,,,6 - USB 2.0,,,,,Black,USB Mouse USB Keyboard,1.0,Minitower,HDD,1,SATA,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,2 x 4GB,2 - PCI Express X16 Slots,DVD±RW DL,Vertical,300 Watt,LGA1150,PC3-12800 1600MHz,1.0,"7,200RPM",Windows 7 Professional 64-Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire V17 Nitro Black Edition VN7-791G-78VM Intel Quad-Core i7 4710HQ 2.5GHz 16GB Memory 1TB HDD Blu-Ray 2GB NVIDIA Geforce GTX 860M 17.3 Full HD 1920 x 1080 Gaming Laptop Windows 8.1 64-bit - at TigerDirect.com,,,New,,,,,,,DDR3L,,,Laptop,17.3 '',,,,6.61 lbs,High Definition Audio,3-Cell Lithium-ion,1TB,Black,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",11.54 '',Full HD widescreen LED-backlit IPS display,HDD,NVIDIA Geforce GTX 860M,1x 1TB,1,1.00 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11a/b/g/n , Bluetooth 4.0",Standard Size,1 - RJ-45,16GB,1920 x 1080,Secure Digital ( SD ),,Integrated Touchpad,Windows 8.1 64-Bit,Blu-Ray Player,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11a/b/g/n , Bluetooth 4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,16GB,,,,16.65 '',,,,,,Gaming,,,,"2 - USB 2.0 , 2 - USB 3.0",1 - Combo Headphone/Microphone Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,Media Reader,2GB GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Predator AG3-605-UR1C Gaming PC - Intel Core i5-4440, 3.10GHz, 8GB DDR3 SDRAM, 1TB HDD, GeForce GTX 745, Windows 8.1 - DT.SPXAA.014 at TigerDirect.com",,,New,,,,Yes,,,DDR3,,,PC,,,,,,,,1TB,,,16.9 '',,,NVIDIA GeForce GTX 745,,Yes,17.2 '',,,,RJ-45,32GB,,,4 Slots Total,,Windows 8.1 64-Bit,,,Intel,Core i5,4440,3.10GHz,,,,,8GB,,,Yes,7.1 '',Bluetooth,,,,,Gaming,,,,5,Yes,,,,Black,USB Keyboard USB Mouse,,Desktop,HDD,1,SATA/300,,,,,,,,Vertical,500 Watt,,PC3-12800 1600MHz,,"7,200RPM",,,,,Yes,DVD-Writer,1.0,1.0,Wireless LAN 802.11 a/b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro2 Tablet - 10.6 Screen 1920x1080, Multi-Touch, Windows 8.1 Pro, 64GB, 4GB RAM Memory, USB 3.0, Micro SD card Reader, front and Rear Cameras(Refurbished) - 5KX-00001 at TigerDirect.com",Yes,2 - Front & Rear,Refurbished,NVIDIA Tegra 4 Quad-Core,10.81 '' x 6.77 '' x 0.37 '',,,3.5MP,Yes,RAM,Yes,Windows 8.1,Windows,10.6 '',64GB,Yes,1.0,1.49 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 : 9,5.0 MP,Web surfing - up to 10 hours,10.1 '' to 11 '',4GB,Yes,Multi-touch,1 Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS G751JY Intel Core i7 24GB Memory 1TB HDD + 256GB SSD NVIDIA GTX 980M 4GB GDDR5 17.3 Gaming Laptop Windows 8.1 64-bit - G751JY-DH71 at TigerDirect.com,,,New,,,,,,,DDR3L,,,Laptop,17.3 '',,,,8.4 lbs,,8-Cell Lithium-ion,1256GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",12.5 '',Full HD Display,HDD + SSD,NVIDIA GTX 980M,"1x 1TB HDD , 1x 256GB SSD",1,0.9 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 ac , Bluetooth",,1 - RJ-45,,1920 x 1080,SD/MMC,,,Windows 8.1 64-Bit,Blu-Ray Burner,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,24GB,,,1,16.4 '',,,,,,Gaming,,,,4 - USB 3.0,1 - Headphone/line-out,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,4GB GDDR5,,,,,,,,,,,,,,1 - Microphone input port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkCentre E93z AIO PC -  Intel Core i3, 4GB Memory, 500GB HDD, 21.5 Display, Windows 7/8 Pro 64-bit - 10B80058US at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,21.5 '',,,,,High Definition Audio,,500GB,,,1.9 '',Full HD LED Backlit Display,,Intel HD Graphics 4400,,1,15.2 '',,,Slim,1,16GB,1920 x 1080,,2 Slots Total / 1 Free,Optical,Windows 7 Professional 64-Bit,,Windows 8 Pro 64-Bit,Intel,Core i3,i3-4130,3.40GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",11-in-1,4GB,No,,,21 '',802.11g Bluetooth 4.0 802.11n 4 - USB 2.0 Windows 8 Pro 64-Bit,Integrated Audio,,,,All-In-One,,,,2 - USB 3.0,1,Integrated Graphics,,,Black,USB USB,,All-In-One,HDD,1,SATA 3.0Gb/s,Intel I217-V,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 4GB,,DVD±RW,Vertical,180 Watt,LGA1150,PC3-12800 1600MHz,,"5,400RPM",Windows 7 Professional 64-Bit,,,,,,,,Wireless LAN 802.11 b/g/n,,,,,,,,,1,Yes,Yes,AC 120/230 V ( 50/60 Hz ),Media Reader,Built-In,2.0 MP,Intel Centrino Wireless-N 2230,802.11b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
