<page title>,brand name,color,computer memory type,hard drive,hard drive interface,hardware platform,item dimensions l x w x h,item weight,max screen resolution,operating system,processor,processor brand,processor count,ram,screen size,series,wireless type,item model number,power source,audioout ports,batteries,battery type,flash memory size,graphics coprocessor,memory speed,number of usb 30 ports,optical drive type,screen resolution,asin,best sellers rank,customer reviews,date first available,shipping,shipping weight,average battery life in hours,graphics card ram size,hard drive rotational speed,buy used and save,heres how,voltage,card description,chipset brand,number of usb 20 ports,rear webcam resolution,manufacturer part number,product dimensions,size,number of items
"Amazon.com : ASUS X401A-BCL0705Y 14"" Ultrabook Notebook 1.8GHz Intel Processor 4GB DDR3 SDRAM 320GB Hard Drive : Computers & Accessories",Asus,Black,SODIMM,320 GB mechanical_hard_drive,Serial ATA,Consumer Electronics,13.50 x 9.50 x 1.30 inches,6.2 pounds,1366 x 768,Windows 8,1.80 GHz Intel Celeron,Intel,2.0,4 MB ddr3,14 inches,X401A-BCL0705Y,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Acer S3-391-6046 13.3-Inch Ultrabook, Intel Core i3 4GB, Memory 320GB HDD Windows 8 : Laptop Computers : Computers & Accessories",Acer,,DDR3 SDRAM,320 GB,Serial ATA,Consumer Electronics,13.30 x 1 x 7 inches,2.6 pounds,,Windows 8,1.40 GHz Intel Core i3,Intel,2.0,4 GB SDRAM DDR3,13.3 inches,Aspire,802.11bgn,SNID # 23501755920/S3 SERIES,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Sony VAIO Pro SVP1321DCXS 13-Inch Touchscreen Ultrabook (1.80 GHz Intel Core i7-4500U Processor, 8GB DDR3, 128GB SSD, Windows 8)Carbon Silver : Laptop Computers : Computers & Accessories",Sony,Silver,DDR3 SDRAM,128 GB flash_memory_solid_state,Serial ATA,Consumer Electronics,14.72 x 3.46 x 10.47 inches,2.3 pounds,1920x1080,Windows 8,1.8 GHz Intel Core i7,Intel,1.0,8 GB DDR3,13.3 inches,VAIO,802.11 a/b/g/n,SVP1321DCXS,,1.0,1 Lithium Metal batteries required . ( included ),Lithium Polymer ( LiPo ),128,Intel HD Graphics 4400,1600 MHz,2.0,No,1920 x 1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad X1 Carbon Touch 2nd Generation (20A7006VUS) - i7, 14"" WQHD Touchscreen, 8 GB RAM, 512 GB SSD, 3-Year Worldwide Warranty. : Computers & Accessories",Lenovo,Black,DDR3 SDRAM,512 GB,Solid State,PC,13.03 x 8.94 x 0.73 inches,3.2 pounds,2560x1440,Windows 8 Pro,Intel Core i7,,,8 GB SDRAM DDR3,14 inches,X1 Carbon 2nd Generation,Bluetooth,20A7006VUS,AC,,,,,,,,,2560x1440,,,,,,,,,,,,,,,,,,,,
Amazon.com : ASUS G75VW-DH72 i7-3940XM 3.9GHz GTX 670M 16GB RAM 256GB SSD + 750GB HDD BLURAY Windows 8 : Laptop Computers : Computers & Accessories,,,,750 GB,,,,,,,,,,16 GB ddr3,17.3 inches,,,,,,,,,geforce,,,,1920_x_1080,,,,,,,,,,,,,,,,,,,,
Amazon.com : Apple MacBook Air MD760LL/B 13.3-Inch Laptop (NEWEST VERSION) : Computers & Accessories,Apple,Aluminium,SDRAM,128 GB mechanical_hard_drive,Solid State,Mac,,3 pounds,,OS X Mavericks,1.4 GHz Intel Core i5,Intel Core I5,1.0,4 GB LPDDR3-SDRAM,13.3 inches,MD760LL/B,802.11 a/b/g/n,MD760LL/B,,1.0,,Lithium Polymer ( LiPo ),128,Intel HD Graphics 5000,1600 MHz,2.0,No,1440 x 900,B00746Z6RK,# 238 in Computers & Accessories ( See top 100 ) # 37 in Computers & Accessories > Notebooks,4.6 out of 5 stars See all reviews 241 reviews 4.6 out of 5 stars,"April 29 , 2014",This item is also available for shipping to select countries outside the U.S .,6.4 pounds ( View shipping rates and policies ),,,,,,,,,,,,,,
"Amazon.com : MSI, GE60 2PE(Apache Pro)-426UK, Sharkbay i7-4710HQ+HM86, DDR III 8GB*2 RAM, Super Raid-256GB SSD (mSATA3)+1TB (SATA) 72 : Computers & Accessories",MSI,,DDR3 SDRAM,,,,,10 pounds,,,,,,,,,,9S7-16GF11-426,,,1 Lithium ion batteries required . ( included ),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS ROG G750JS-DS71 17.3-inch Gaming Laptop, GeForce GTX 870M Graphics : Computers & Accessories",Asus,Black,DDR3 SDRAM,1024 GB flash_memory_solid_state,Serial ATA,PC,16.10 x 12.50 x 2 inches,9.9 pounds,1920x1080,Windows 8.1,3.4 GHz Core i7-4700HQ,Intel Core I7,1.0,16 GB DDR3,17.3 inches,ROG,802.11 A/C,90NB04M1-M00070,,1.0,1 Lithium ion batteries required . ( included ),,256,,,4.0,DVD Super Multi,1920 x 1080,,,,,,,3.5 hours,3072 MB,7200 RPM,,,,,,,,,,,
"Amazon.com : HP 17.3"" Envy Touchsmart Laptop - 17.3-inch FULL HD Touchscreen, 4th Gen Intel i7-4700MQ 2.4GHz Processor, 8GB DDR3, 1TB HDD, DVDRW, Beats Audio, Backlit Keyboard, Window 8.1 : Computers & Accessories",HP,Silver,DDR3 SDRAM,1 TB mechanical_hard_drive,Serial ATA,PC,16.30 x 1.30 x 10.80 inches,7.2 pounds,1920 x 1080,Windows 8,,Intel Core I7,,8 GB SDRAM DDR3,17.3 inches,ENVY,"802.11bgn , Bluetooth",Touchsmart 17-j Series,AC,,,,,,,4.0,,1920 x 1080,,,,,,,5 hours,,,,,,,,,,,,,
"Amazon.com : Lenovo Y40 Laptop Computer - 59423034 - Black - 4th Generation Intel Core i7-4510U / 1TB+8GB Solid State Hybrid Drive / 8GB RAM / 14.0"" FHD 1920x1080 Display / AMD Radeon R9 M275 2GB / Dual Band Wireless AC / Windows 8.1 : Computers & Accessories",Lenovo,Black,DDR3 SDRAM,1 TB,Serial ATA,PC,,4.8 pounds,1920 x 1080,Windows 8,2 GHz,,,8 GB SDRAM DDR3,14 inches,Y40,,59423034,,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,
