<page title>,display resolution,monitor size,monitor type,response time,speakers
Nec E464 46inch LCD LED Monitors | Compare Prices & Save shopping in Australia,1920x1080,46 Inch,"LCD,LED",8 ms,No info
Aoc i2367Fh 23inch LED Monitor | Compare Prices & Save shopping in Australia,No info,23 Inch,LED,5 ms,With Speakers
Hewlett Packard Z22I 21.5Inch LCD Monitor | Compare Prices & Save shopping in Australia,1920x1080,21.5 Inch,LCD,8 ms,With Out Speakers
LG 24MP56HQ 24inch LED Monitors | Compare Prices & Save shopping in Australia,1920x1080,22 Inch,LED,5 ms,With Out Speakers
Dell S2240T 21inch LED Monitors | Compare Prices & Save shopping in Australia,1920x1080,21 Inch,"Touch,LED",12 ms,With Out Speakers
ViewSonic VA2246M 21.5inch LED Monitors | Compare Prices & Save shopping in Australia,1920x1080,21.5 Inch,LED,5 ms,With Speakers
Lenovo ThinkVision LT2423 24inch LCD Monitor | Compare Prices & Save shopping in Australia,No info,24 Inch,LCD,5 ms,No info
Kogan KALED27MONB 27inch LED Monitor | Compare Prices & Save shopping in Australia,No info,27 Inch,LED,6.5 ms,No info
Philips 271P4QPJKEB 27inch LCD Monitors | Compare Prices & Save shopping in Australia,1920x1080,27 Inch,LCD,12 ms,With Speakers
Viewsonic VA2249S 21.5inch LED Monitor | Compare Prices & Save shopping in Australia,1920x1080,21.5 Inch,LED,5 ms,With Out Speakers
Nec E654 65inch LCD Monitors | Compare Prices & Save shopping in Australia,1920x1080,65 Inch,LCD,6.5 ms,No info
Lenovo ThinkVision Pro2840m 28inch LCD Monitors | Compare Prices & Save shopping in Australia,3840x2160,28 Inch,LCD,5 ms,No info
Aoc i2757Fh 27inch Full HD Monitor | Compare Prices & Save shopping in Australia,No info,27 Inch,LCD,5 ms,With Speakers
LG 22EN33T 22inch LED Monitors | Compare Prices & Save shopping in Australia,1920x1080,21.5 Inch,LED,5 ms,No info
LG 22MP56HQ 22inch LED Monitors | Compare Prices & Save shopping in Australia,1920x1080,24 Inch,LED,5 ms,With Out Speakers
Lenovo ThinkVision LT1953 19inch LCD Monitor | Compare Prices & Save shopping in Australia,No info,19 Inch,LCD,No info,No info
Lenovo ThinkVision LT1713p 17inch LCD Monitors | Compare Prices & Save shopping in Australia,1280x1024,17 Inch,LCD,5 ms,No info
Dell E2414H 24inch LED Monitors | Compare Prices & Save shopping in Australia,1920x1080,24 Inch,LED,5 ms,With Out Speakers
Dell U2412M 24inch LED Monitor | Compare Prices & Save shopping in Australia,No info,24 Inch,LED,8 ms,With Out Speakers
Philips 231S4LCB 23inch LCD Monitors | Compare Prices & Save shopping in Australia,1920x1080,23 Inch,LCD,5 ms,No info
