<page title>,aspect ratio,contrast ratio,display technology,max resolution,product line,refresh rate,max viewing angle horizontal,max viewing angle vertical,regulatory approval,synchronization range horizontal,system,product features,color support,synchronization range vertical
"Samsung SyncMaster S27A850D 27"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,2560 x 1440,Samsung SyncMaster,,,,,,,,,
Lenovo Widescreen LED LCD Monitor - Pricing and Details - Catalog.com,16:9,1000:1,LED LCD,1600 x 900,,,,,,,,,,
"Planar PL1920M 19"" LCD Monitor with built-in speakers - Pricing and Details - Catalog.com",5:4,1000:1,LCD,1280 x 1024,,75 Hz,,,,,,,,
"Elo Touch 1515L 15"" LCD Monitor - Pricing and Details - Catalog.com",,400:1,LCD,1024 x 768,Elo Touch,,,,,,,,,
"ViewSonic TD2420 24"" LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",4:3,1000:1,LED,1920 x 1080,,,,,,,,,,
"ASUS VS VS238H-P 23"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,,LED LCD,1920 x 1080,ASUS VS,75 Hz,,,,,,,,
"BenQ XL2720T 27"" Widescreen LED Monitor - Pricing and Details - Catalog.com",16:9,1000:1,LED,1920 x 1080,,,,,,,,,,
"ViewSonic VP VP2765-LED 27"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,3000:1,LED LCD,1920 x 1080,ViewSonic VP,,,,,,,,,
"3M Multi-Touch C3266PW 32"" Widescreen Touch Screen Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,,,1920 x 1080,3M Multi-Touch,120 Hz,,,,,,,,
"StarTech RACKCONS1501 19"" LCD Monitor - Pricing and Details - Catalog.com",5:4,400:1,LCD Flat Panel LCD TFT (Active Matrix) LCD Flat Panel LCD TFT (Active Matrix),,,,130°,100°,RoHS,45 - 80 kHz,Rack Mountable,,,
"HP DreamColor Z27x 27"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,,LED LCD,1920 x 1200,HP DreamColor,,,,,,,,,
"Elo Touch 1537L 15"" LCD Monitor - Pricing and Details - Catalog.com",4:3,,,1024 x 768,Elo Touch,56Hz - 75Hz,,,,,,,,
"Dell P2314T 23"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,1000:1,LED LCD,1920 x 1080,,,,,,,,,,
"HP TFT7210R 17"" LCD Monitor - Pricing and Details - Catalog.com",5:4,450:1,LCD,,,75 Hz,,,,,,,,
"NEC MultiSync LCD175M-BK 17"" LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",5:4,1000:1,LCD,1280 x 1024,NEC MultiSync,60 Hz,,,,,,"Taking care of business never looked so stylish
With its NEC MultiSync 5 series which boasts cutting-edge technologies and dynamic design accents, NEC Display Solutions gives you the ability to increase your productivity with monitors that add a modern flair to your desktop. The 17"" LCD175M meets the diverse needs of businesses of all kinds.It's easy to be green
In addition to consuming up to 42% less energy than its predecessors and containing 50% less mercury content than comparable displays, the LCD175M is loaded with features that promote environmental consciousness, including: two-step ECO Mode, a carbon footprint meter for tracking the conservation of green gas emissions, compliance with Energy Star 5.0, TCO 5.0 and EPEAT Gold (U.S. / CDN), and a significant reduction in packaging materials.Enhanced screen performance
With contrast ratios as high as 1000:1 (typical) and brightness quality up to 300 cd / m², outstanding LCD monitor front-of-screen visual performance is NEC Display Solutions' #1 goal. Rapid Response technology provides for lifelike full-motion video display without distortion at response times as swift as 5ms.Wide compatibility for today and tomorrow
With Ambix dual-input technology - which utilizes both DVI-D and traditional 15-pin VGA connectors - you can bridge the gap between analog and digital systems by allowing the same monitor to work seamlessly in either environment. Ambix provides compatibility with today's computer systems and is on the forefront of tomorrow's digital output.",,
"ASUS MS VE198T 19"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:10,10000000:1,LCD,1440 x 900,ASUS MS,,,,,,,,,
"Elo Touch 1519L 15.6"" Widescreen Touch Screen Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,,,1366 x 768,Elo Touch,60 Hz,,,,,,,,
"Acer B B243PWL 24"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:10,100000000:1,LED LCD,1920 x 1200,Acer B,,,,,,,,,
"Dell UltraSharp P2815Q 28"" Widescreen LED LCD Monitor, built-in Speakers - Pricing and Details - Catalog.com",16:9,,Ultra HD,3840 x 2160,Dell UltraSharp,,,,,,,,,
"Samsung S24C450DL 23.6"" Widescreen LED LCD Monitor - Pricing and Details - Catalog.com",16:9,1000:1,LED,1920 x 1080,,,,,,,,,,
"Lilliput 669GL-70NP/C 7"" Widescreen LCD Monitor - Pricing and Details - Catalog.com",16:9,500:1,LCD,800 x 480,,,,,,,,,,
