abv,beer_name,brew_factory_name,style
0.0,amber guerre ground zero beer,american amber red ale,5
0.0,100 naked dove brewing company,american amber red ale,
2.8,midgee,hopdog beerworks,american amber red ale
3.0,pinchy,marshall wharf brewing company three tides restaurant,american amber red ale
3.0,aman s amber ale,grand rapids brewing company,american amber red ale
3.0,amber lite,mickey finn s brewery,american amber red ale
3.2,nan s driving,feral brewing co,american amber red ale
3.4,banner american ale,banner beer company,american amber red ale
3.4,henley amber,lovibonds brewery ltd,american amber red ale
3.4,and to all a good light,2kids brewing company,american amber red ale
3.5,hellion,trve brewing co,american amber red ale
3.5,chillax,mckenzie brew house,american amber red ale
3.5,60 schillings cask,brasserie artisanale albion,american amber red ale
3.5,cento all ora,birra dell elba brew pub,american amber red ale
3.5,mainstay amber,green beacon brewing co,american amber red ale
3.5,happiness,2 brothers brewery,american amber red ale
3.5,mild child,oconnor brewing co,american amber red ale
3.7,how now brown cow,young henry s,american amber red ale
3.8,big red,black wolf brewery,american amber red ale
3.8,red amber,prairie fire brewing co,american amber red ale
3.8,border bitter,the untapped brewing co,american amber red ale
3.8,steam beer,sonnet 43 brew house,american amber red ale
3.8,isa rousse,microbrasserie archibald,american amber red ale
3.8,sourless ginger,hearthstone grill,american amber red ale
3.8,festival amber,festival brewery,american amber red ale
3.8,sentinel amber ale,big shed brewery,american amber red ale
3.9,homefield 5,kretschmann brewing company,american amber red ale
3.9,devil s garden,frodsham brewery,american amber red ale
3.9,ruby tuesday,boggart hole clough brewing co,american amber red ale
3.9,fire on high,the waen brewery,american amber red ale
3.9,aurora,geltsdale brewery,american amber red ale
3.9,local 117,the root cellar london brewing coop,american amber red ale
4.0,wasatch evolution amber ale,utah brewers cooperative,american amber red ale
4.0,yakima red,meantime brewing company limited,american amber red ale
4.0,squatters organic amber ale,utah brewers cooperative,american amber red ale
4.0,squatters emigration amber ale,utah brewers cooperative,american amber red ale
4.0,derailleur ale,moab brewery,american amber red ale
4.0,pga perfectly great amber,snoqualmie falls brewing company taproom,american amber red ale
4.0,springdale amber ale,zion canyon brewing company,american amber red ale
4.0,remington red,bricktown brewery,american amber red ale
4.0,farmhouse red ale,hall brewing co,american amber red ale
4.0,sedation,institution ale company,american amber red ale
4.0,trout town rainbow red ale,roscoe beer co,american amber red ale
4.0,squatters respect your mother organic amber ale,utah brewers cooperative,american amber red ale
4.0,ready to fly,shades of pale brewing company,american amber red ale
4.0,masswhole hop session,wormtown brewery,american amber red ale
4.0,augustus amber ale,desert edge brewery,american amber red ale
4.0,anniversary amber ale,desert edge brewery,american amber red ale
4.0,wasatch 50th park city golden anniversary ale,utah brewers cooperative,american amber red ale
4.0,big v amber ale,freewheel brewing company,american amber red ale
4.0,diable,la diable,american amber red ale
4.0,marks spencer greenwich red ale,meantime brewing company limited,american amber red ale
4.0,ruby river ruby red ale,ruby river steakhouse brewery,american amber red ale
4.0,baias ambar,baias garagardotegia,american amber red ale
4.0,miracale,dry city brew works,american amber red ale
4.0,vizir lucky luke sexy ale,pivovarna in vinska klet vizir,american amber red ale
4.0,first run,lookout brewing co,american amber red ale
4.0,mulish amber,headstrong brewery,american amber red ale
4.0,red rock opie red ale,red rock brewing company,american amber red ale
4.0,rude ram red,roosters brewing company and restaurant,american amber red ale
4.0,spellbound,merlin microbrewery,american amber red ale
4.0,shooting star amber ale,utah brewers cooperative,american amber red ale
4.0,nf ale,john harvard s brewery ale house,american amber red ale
4.0,antelope amber ale,bonneville brewery,american amber red ale
4.0,allosaurus amber,vernal brewing company,american amber red ale
4.0,blue boar,everards brewery ltd,american amber red ale
4.0,chiniquy,brasserie artisanale albion,american amber red ale
4.0,fern draught,the sprig fern brewery,american amber red ale
4.1,red,firehouse brewing co,american amber red ale
4.1,country house red ale,argus brewery,american amber red ale
4.1,amber wheat,firehouse brewing co,american amber red ale
4.1,player to be named later,small batch beer co,american amber red ale
4.1,paradox ale,galena brewing company,american amber red ale
4.1,ambar,cerveceria berber sa de cv,american amber red ale
4.1,royal red,the lord nelson brewery hotel,american amber red ale
4.1,rutland city red,hop n moose brewing company,american amber red ale
4.1,ruby sunset,dunham massey brewing company,american amber red ale
4.1,amber ale batch 01,115 grill brewhouse,american amber red ale
4.2,hockley amber,hockley valley brewing co,american amber red ale
4.2,eve amber ale,lonerider brewing company,american amber red ale
4.2,anacortes red ale,anacortes brewery rockfish grill,american amber red ale
4.2,revisionist red ale,marston s plc,american amber red ale
4.2,reflex,drygate brewery,american amber red ale
4.2,red monk of iona,isle of mull brewing co ltd,american amber red ale
4.2,fat lip amber,5 seasons westside,american amber red ale
4.2,muricanmild,district chophouse brewery,american amber red ale
4.2,north 40 amber,himmelberger brewing co,american amber red ale
4.2,m rish,m r brewery,american amber red ale
4.2,headless dog,hilden brewing company taproom,american amber red ale
4.2,1790 tap room ale,long trail brewing co,american amber red ale
4.2,wild north summer session ale,lake of bays brewing company,american amber red ale
4.2,summer session ale,elk creek cafe aleworks,american amber red ale
4.2,brazen amber ale,carrig brewing co,american amber red ale
4.2,toast,the liverpool craft beer co,american amber red ale
4.2,copper tart,hallertau brewbar,american amber red ale
4.2,lady of the lake,glastonbury ales,american amber red ale
4.2,brett trois red rye isa,old abbey ales,american amber red ale
4.2,starshine ginger bier,big island brewhaus tako taco taqueria,american amber red ale
4.3,american rye,buxton brewery,american amber red ale
4.3,river rat red,riverport brewing company,american amber red ale
4.3,valley girl,cambridge brewing company,american amber red ale
4.3,topless red ale,central coast brewing,american amber red ale
4.3,madrone red,standing stone brewing company,american amber red ale
4.3,ratsherrn backbord red ale,ratsherrn brauerei gmbh,american amber red ale
4.3,daywalker,brew detroit,american amber red ale
4.3,star,portobello brewery,american amber red ale
4.3,slewfoot,cumberland brews,american amber red ale
4.3,tornado,three castles brewery,american amber red ale
4.3,will s fault wicked good beah,martha s exchange,american amber red ale
4.3,big red,dave s brewfarm,american amber red ale
4.3,session amber,first magnitude brewing company,american amber red ale
4.3,kukko ale,laitilan wirvoitusjuomatehdas,american amber red ale
4.3,jubilee session amber,sycamore brewing,american amber red ale
4.3,amsterdam session,the tap brewery,american amber red ale
4.3,witch hunter,white rock brewery,american amber red ale
4.3,red beard red ale,two goats brewing,american amber red ale
4.3,5 sisters,alechemy brewing,american amber red ale
4.4,levitation ale,stone brewing co,american amber red ale
4.4,avalanche ale,breckenridge brewery,american amber red ale
4.4,runabout red ale,sebago brewing company,american amber red ale
4.4,bed and breakfast,brouwerij de molen,american amber red ale
4.4,railway city iron spike copper ale,railway city brewing company,american amber red ale
