citkey,autnm
Ache00a,Franz Achermann
Ache00a,Oscar Nierstrasz
Baeu96a,Dirk Baumer
Baeu96a,Rolf Knoll
Baeu96a,Guido Gryczan
Baeu96a,Heinz Zullighoven
Ben82a,Ben-Ari
Bisc92a,Walter R. Bischofberger
Bisc92a,Gustav Pomberger
Born86a,Alan Borning
Born86a,Robert Duisberg
Bour94a,Marc Bourgois
Bour94a,Jean-Marc Andreoli
Bour94a,Remo Pareschi
Brig94a,Ted L. Briggs
Brig94a,John Werth
Card98a,Luca Cardelli
Card98a,Andrew D. Gordon
Cast97a,Giuseppe Castagna
Coad91a,Peter Coad
Coad91a,Edward Yourdon
Cons92a,Panos Constantopoulos
Cons92a,Matthias Jarke
Cons92a,John Mylopoulos
Cons92a,Yannis Vassiliou
Copl99a,James O. Coplien
Deme80a,A.J. Demers
Deme80a,Jim Donahue
Deme98n,Serge Demeyer
Deme98n,Stephane Ducasse
Foot94a,Brian Foote
Foot94a,William F. Opdyke
Garf93a,Simson L. Garfinkel
Garf93a,Michael K. Mahoney
Geha82a,N. Gehani
Gepp92b,Andreas Geppert
Goet91a,Jean-Marc Goetz
Goet91a,Carl Verhoest
Goet91a,Joel Brunet
Hami97a,Graham Hamilton
Hami97a,Rick Hamilton
Hami97a,Rick Cattell
Hami97a,Maydene Fisher
Henn86a,Matthew Hennessy
Heue95a,Andreas Heuer
Heue95a,Gunter Saake
Hoar69a,C.A.R. Hoare
Hofm94b,Martin Hofmannn
Hofm94b,Benjamin Pierce
Hors90a,Nigel Horspool
Huet89a,Hans Huttel
Huet89a,Kim G. Larsen
Kove93a,Larry Koved
Kove93a,Wayne L. Wooten
Kurt99a,Eveline Kurt
Lars90a,Kim G. Larsen
Lars90a,Liu Xinxin
Lowr92a,Andy Lowry
Lutz96a,Mark Lutz
Miln84a,Robin Milner
More94a,Ana M.D. Moreira
More94a,Robert G. Clark
Nier91b,Oscar Nierstrasz
Nier91b,Dennis Tsichritzis
Nier91b,Vicki de Mey
Nier91b,Marc Stadelmann
Nori81a,K.V. Nori
Nori81a,U. Ammann
Nori81a,K. Jensen
Nori81a,H.H. Nageli
Nori81a,Ch. Jacobi
Papa91a,Michael Papathomas
Papa91a,Oscar Nierstrasz
Pavl77a,T. Pavlidis
Pins88a,Lewis J. Pinson
Pins88a,Richard S. Wiener
Pint92a,Xavier Pintado
Pint92a,Betty Junod
Rao91a,Ramana Rao
Shib92a,Etsuya Shibayama
Taiv96a,Antero Taivalsaari
Tann83a,P.P. Tanner
Tann83a,W.A.S. Buxton
Thur89a,M.B. Thuraisingham
Tich97b,Sander Tichelaar
Tich97b,Stephane Ducasse
Tich97b,Theo-Dirk Meijler
Tsic87c,Dennis Tsichritzis
Tsic87c,Eugene Fiume
Tsic87c,Simon Gibbs
Tsic87c,Oscar Nierstrasz
Wegn94b,Peter Wegner
