film_id,categoria_id
81,14
909,11
295,6
386,16
73,14
786,3
769,9
173,7
288,16
564,2
250,1
567,9
18,2
546,10
150,6
409,3
20,12
306,10
52,9
855,6
354,3
71,8
938,5
935,13
683,7
359,8
152,3
418,7
970,4
972,14
50,8
856,11
331,10
692,2
91,4
367,14
41,16
15,9
390,14
98,7
393,6
484,4
501,1
983,12
729,15
946,8
249,4
829,8
189,10
236,10
606,15
456,2
810,8
701,10
302,10
957,9
622,6
704,5
863,14
231,8
739,7
217,10
304,3
280,3
671,15
879,12
659,1
311,9
712,6
676,15
6,9
167,16
979,7
99,5
90,13
529,5
168,3
816,2
812,6
702,11
44,14
151,14
79,7
690,2
779,15
452,9
318,1
437,8
345,8
663,4
514,7
401,7
572,14
127,5
183,8
589,6
715,8
994,13
294,16
344,3
14,4
350,14
934,10
745,15
929,9
447,10
34,11
532,15
120,15
555,5
795,8
126,1
996,6
37,4
282,7
897,7
850,1
153,14
365,5
208,2
191,3
991,1
272,7
714,14
89,2
902,15
877,12
56,1
621,8
180,4
731,4
813,15
508,10
511,1
542,1
197,15
860,14
43,8
8,11
129,6
784,16
32,13
918,3
65,11
783,16
17,12
711,14
287,1
328,3
867,8
638,5
612,15
688,3
382,10
562,12
549,1
436,13
859,2
634,8
308,5
898,15
907,7
9,11
565,9
557,8
187,15
626,3
743,2
670,6
96,13
204,7
21,1
7,5
49,14
230,7
338,14
645,16
833,3
955,3
133,12
466,6
478,5
203,14
917,15
334,11
678,15
323,15
124,3
449,14
301,11
495,11
258,11
872,16
986,2
377,8
164,6
689,9
775,7
237,15
684,10
108,13
656,16
192,9
444,5
570,15
726,9
488,15
728,7
94,8
723,14
178,5
291,15
384,12
768,3
655,14
160,2
307,16
861,10
839,14
380,9
982,1
363,12
971,9
394,14
289,13
462,12
853,3
47,9
95,13
584,9
790,7
256,15
890,15
507,10
194,1
706,7
777,15
587,6
876,11
980,12
176,15
760,13
441,6
12,12
196,4
268,2
266,4
544,6
366,7
759,13
72,6
412,6
547,3
83,8
667,15
948,13
718,12
139,8
735,3
849,2
708,6
528,8
489,2
450,3
903,16
834,6
744,4
201,9
67,1
870,11
785,16
579,1
119,5
614,10
843,4
213,8
695,8
550,8
881,11
372,15
505,3
821,9
395,1
947,9
60,4
75,16
498,8
246,9
643,7
605,9
341,4
976,10
453,15
635,13
502,5
620,14
830,11
831,14
399,9
628,15
652,4
770,9
93,13
749,11
383,15
968,1
535,11
774,5
46,10
284,12
625,14
566,9
788,6
234,14
629,6
406,10
875,15
398,12
538,13
465,13
537,4
257,16
451,16
510,2
3,6
483,10
267,13
516,12
135,15
248,6
252,1
792,9
305,13
807,10
263,15
862,4
78,2
586,1
298,14
604,5
552,6
86,12
761,3
373,3
939,5
949,10
857,5
110,3
677,13
896,3
941,10
523,4
420,15
459,9
632,13
568,5
128,9
685,13
82,8
661,9
536,4
69,14
24,11
463,15
574,1
962,4
610,8
1,6
892,2
665,11
828,4
374,14
900,9
448,13
26,14
165,14
228,4
750,13
705,9
54,12
154,2
963,2
752,12
428,8
888,6
846,13
214,3
13,11
314,2
84,16
741,12
361,15
776,6
730,13
421,9
639,8
778,8
647,12
583,2
66,3
669,9
417,1
995,11
116,4
170,9
920,13
615,2
177,14
416,9
521,7
357,4
206,6
797,12
477,12
873,3
277,11
427,6
29,1
435,9
260,15
410,5
388,5
791,6
698,6
974,13
269,8
864,3
646,10
679,8
101,6
274,6
717,1
806,13
910,7
716,11
534,8
931,16
202,5
958,7
494,11
442,8
650,6
162,1
817,14
540,12
563,10
943,6
842,10
869,1
438,10
794,1
964,1
5,8
224,16
113,15
39,14
826,16
238,3
279,15
908,9
915,1
379,7
851,15
933,13
273,8
914,16
845,9
981,16
172,7
801,3
789,9
675,13
157,3
503,15
965,11
624,10
140,14
346,4
104,9
841,15
218,7
265,5
38,1
944,7
210,1
636,12
590,13
185,9
292,1
525,4
403,7
673,12
2,11
490,13
109,13
424,3
651,2
481,13
148,9
445,4
961,9
600,11
581,12
80,8
339,16
142,6
922,11
814,5
76,12
607,9
803,7
68,3
912,14
720,13
746,10
482,4
531,9
582,2
878,16
362,10
823,1
485,3
100,9
299,16
548,4
952,6
889,3
530,1
561,13
343,3
905,5
558,13
4,11
560,10
640,9
241,2
926,6
598,15
471,4
940,15
233,16
509,3
467,9
155,13
262,8
40,6
880,2
352,10
953,2
596,10
697,1
742,10
181,16
253,1
147,8
578,4
852,3
619,15
832,8
658,11
115,1
125,16
945,6
496,16
608,3
802,1
696,2
591,10
254,15
866,8
123,16
978,5
837,5
378,12
781,10
349,2
316,10
244,12
419,8
171,11
198,9
55,14
895,4
923,7
461,2
376,9
754,5
239,2
687,6
476,8
358,4
772,7
200,10
433,2
847,13
319,14
984,9
680,5
824,8
144,13
290,9
275,11
264,10
469,4
559,14
623,9
184,4
798,14
992,6
479,8
36,2
985,14
190,4
763,15
315,8
500,9
554,4
300,2
987,12
207,9
724,8
242,5
434,16
672,5
637,14
694,4
577,15
848,16
499,8
335,5
539,7
92,11
337,9
517,15
85,6
613,5
25,13
954,13
30,11
520,14
737,11
973,6
526,16
732,1
942,7
840,10
710,8
989,16
713,6
221,6
642,16
61,7
766,7
389,15
886,2
924,14
317,5
156,6
174,12
470,2
733,15
956,10
887,2
145,8
576,6
751,13
827,7
773,15
329,1
969,7
681,15
216,13
533,9
22,13
408,10
765,5
351,11
348,8
118,2
261,6
16,9
753,8
375,1
998,11
102,15
464,2
609,16
245,2
756,5
186,7
513,16
654,10
396,7
936,12
506,11
51,12
57,16
166,4
551,13
58,6
293,15
122,11
767,12
700,8
575,6
371,1
472,16
764,15
35,11
959,3
627,6
347,16
159,5
431,9
137,14
446,15
686,13
820,2
276,5
220,12
504,7
950,4
138,14
423,3
569,2
74,12
77,13
404,5
556,10
211,10
28,5
255,12
402,2
925,6
602,14
928,3
599,15
146,7
88,16
143,7
921,12
977,16
518,16
838,1
883,3
512,4
426,12
425,4
885,11
23,2
285,14
112,9
911,1
990,11
429,15
179,7
919,10
27,15
106,10
313,11
175,8
103,16
271,1
385,5
169,16
515,3
901,2
916,2
422,14
930,14
458,8
668,15
649,2
131,4
281,10
270,13
727,8
836,15
722,11
758,7
691,15
524,5
641,9
222,11
487,4
326,2
644,2
226,13
439,7
633,4
324,5
209,7
541,2
223,2
874,4
327,1
415,11
725,4
59,3
519,15
707,1
364,13
653,11
33,7
392,3
64,7
136,13
53,8
1000,5
356,3
480,4
868,16
188,5
594,1
999,3
19,1
473,7
336,6
755,3
400,6
333,12
882,7
205,1
721,12
630,7
413,5
815,4
227,10
804,11
631,15
913,13
391,8
818,7
70,2
45,13
117,10
762,10
545,9
368,7
342,16
617,8
740,11
660,5
782,15
904,11
757,6
215,10
243,2
474,15
811,16
163,13
780,8
825,1
322,15
966,6
975,8
493,9
414,9
259,2
440,9
134,2
468,3
657,5
161,12
793,1
819,12
11,9
62,6
247,5
747,10
212,1
674,9
967,14
195,14
527,11
588,3
937,13
48,3
960,6
158,12
719,15
593,11
397,14
616,6
111,1
182,5
454,12
486,9
355,2
899,4
31,8
611,4
871,5
63,8
353,9
278,12
951,4
796,15
906,5
682,8
369,14
303,1
997,12
771,7
283,13
460,9
232,10
225,7
296,14
141,10
601,16
312,14
10,15
805,2
149,3
738,9
835,10
229,1
808,4
455,9
405,16
240,14
310,10
699,10
522,5
411,12
381,10
787,16
553,3
132,14
443,5
573,3
251,13
571,6
