master_id,genre
218544,Electronic
527061,Electronic
66600,Electronic
66600,Pop
66600,Rock
83121,Electronic
355092,Electronic
179800,Electronic
151157,Electronic
77231,Electronic
77231,Pop
72617,Electronic
23055,Electronic
123237,Electronic
123237,Hip Hop
396484,Electronic
332215,Electronic
47305,Hip Hop
69474,Hip Hop
175618,Electronic
71388,Electronic
153588,Electronic
7548,Electronic
37149,Rock
29711,Electronic
29711,Rock
241121,Electronic
261540,Electronic
32058,Rock
79543,Electronic
5516,Electronic
292884,Electronic
10122,Electronic
10122,Pop
75818,Electronic
202927,Electronic
12333,Electronic
261002,Electronic
115729,Rock
215054,Electronic
215054,Funk / Soul
