label_id,uri,type,height,width,uri150
130,http://api.discogs.com/image/L-130-001.gif,primary,60,100,http://api.discogs.com/image/L-150-130-001.gif
160,http://api.discogs.com/image/L-160-002.jpg,primary,220,300,http://api.discogs.com/image/L-150-160-002.jpg
160,http://api.discogs.com/image/L-160-1334927385.jpeg,secondary,248,242,http://api.discogs.com/image/L-150-160-1334927385.jpeg
160,http://api.discogs.com/image/L-160-1204286445.jpeg,secondary,170,600,http://api.discogs.com/image/L-150-160-1204286445.jpeg
160,http://api.discogs.com/image/L-160-003.jpg,secondary,150,150,http://api.discogs.com/image/L-150-160-003.jpg
267,http://api.discogs.com/image/L-267-1211075810.jpeg,primary,87,175,http://api.discogs.com/image/L-150-267-1211075810.jpeg
267,http://api.discogs.com/image/L-267-1293140613.jpeg,secondary,131,280,http://api.discogs.com/image/L-150-267-1293140613.jpeg
681,http://api.discogs.com/image/L-681-1202010441.png,primary,217,217,http://api.discogs.com/image/L-150-681-1202010441.png
681,http://api.discogs.com/image/L-681-1300610529.jpeg,secondary,600,600,http://api.discogs.com/image/L-150-681-1300610529.jpeg
681,http://api.discogs.com/image/L-681-1300610348.jpeg,secondary,600,600,http://api.discogs.com/image/L-150-681-1300610348.jpeg
681,http://api.discogs.com/image/L-681-1235145969.jpeg,secondary,289,449,http://api.discogs.com/image/L-150-681-1235145969.jpeg
681,http://api.discogs.com/image/L-681-1197928383.jpeg,secondary,267,356,http://api.discogs.com/image/L-150-681-1197928383.jpeg
681,http://api.discogs.com/image/L-681-1275607705.jpeg,secondary,447,481,http://api.discogs.com/image/L-150-681-1275607705.jpeg
681,http://api.discogs.com/image/L-681-1294763019.jpeg,secondary,600,597,http://api.discogs.com/image/L-150-681-1294763019.jpeg
681,http://api.discogs.com/image/L-681-1294763026.jpeg,secondary,600,597,http://api.discogs.com/image/L-150-681-1294763026.jpeg
681,http://api.discogs.com/image/L-681-1294763033.jpeg,secondary,592,600,http://api.discogs.com/image/L-150-681-1294763033.jpeg
681,http://api.discogs.com/image/L-681-1294763038.jpeg,secondary,591,600,http://api.discogs.com/image/L-150-681-1294763038.jpeg
681,http://api.discogs.com/image/L-681-1327678318.jpeg,secondary,593,600,http://api.discogs.com/image/L-150-681-1327678318.jpeg
681,http://api.discogs.com/image/L-681-1331804369.jpeg,secondary,338,523,http://api.discogs.com/image/L-150-681-1331804369.jpeg
681,http://api.discogs.com/image/L-681-1331804389.jpeg,secondary,582,599,http://api.discogs.com/image/L-150-681-1331804389.jpeg
681,http://api.discogs.com/image/L-681-1331804397.jpeg,secondary,590,599,http://api.discogs.com/image/L-150-681-1331804397.jpeg
681,http://api.discogs.com/image/L-681-1331804410.jpeg,secondary,578,599,http://api.discogs.com/image/L-150-681-1331804410.jpeg
681,http://api.discogs.com/image/L-681-1331804420.jpeg,secondary,578,594,http://api.discogs.com/image/L-150-681-1331804420.jpeg
750,http://api.discogs.com/image/L-750-1235390532.jpeg,primary,437,447,http://api.discogs.com/image/L-150-750-1235390532.jpeg
750,http://api.discogs.com/image/L-750-1298600276.jpeg,secondary,530,600,http://api.discogs.com/image/L-150-750-1298600276.jpeg
750,http://api.discogs.com/image/L-750-1309903230.jpeg,secondary,250,250,http://api.discogs.com/image/L-150-750-1309903230.jpeg
750,http://api.discogs.com/image/L-750-1209326869.jpeg,secondary,413,550,http://api.discogs.com/image/L-150-750-1209326869.jpeg
750,http://api.discogs.com/image/L-750-1321655435.jpeg,secondary,600,600,http://api.discogs.com/image/L-150-750-1321655435.jpeg
750,http://api.discogs.com/image/L-750-1234646850.jpeg,secondary,352,355,http://api.discogs.com/image/L-150-750-1234646850.jpeg
750,http://api.discogs.com/image/L-750-1324930949.jpeg,secondary,363,365,http://api.discogs.com/image/L-150-750-1324930949.jpeg
750,http://api.discogs.com/image/L-750-1324931036.jpeg,secondary,365,365,http://api.discogs.com/image/L-150-750-1324931036.jpeg
750,http://api.discogs.com/image/L-750-1324930265.jpeg,secondary,364,365,http://api.discogs.com/image/L-150-750-1324930265.jpeg
750,http://api.discogs.com/image/L-750-1324930371.jpeg,secondary,365,365,http://api.discogs.com/image/L-150-750-1324930371.jpeg
750,http://api.discogs.com/image/L-750-1324930557.jpeg,secondary,363,365,http://api.discogs.com/image/L-150-750-1324930557.jpeg
750,http://api.discogs.com/image/L-750-1324930590.jpeg,secondary,365,365,http://api.discogs.com/image/L-150-750-1324930590.jpeg
750,http://api.discogs.com/image/L-750-1324931174.jpeg,secondary,364,365,http://api.discogs.com/image/L-150-750-1324931174.jpeg
750,http://api.discogs.com/image/L-750-1324930517.jpeg,secondary,365,365,http://api.discogs.com/image/L-150-750-1324930517.jpeg
750,http://api.discogs.com/image/L-750-1324930468.jpeg,secondary,365,365,http://api.discogs.com/image/L-150-750-1324930468.jpeg
915,http://api.discogs.com/image/L-915-1358455437-2659.jpeg,primary,600,600,http://api.discogs.com/image/L-150-915-1358455437-2659.jpeg
915,http://api.discogs.com/image/L-915-1166784409.jpeg,secondary,180,180,http://api.discogs.com/image/L-150-915-1166784409.jpeg
915,http://api.discogs.com/image/L-915-1173021282.jpeg,secondary,343,600,http://api.discogs.com/image/L-150-915-1173021282.jpeg
1000,http://api.discogs.com/image/L-1000-1351783568-4179.jpeg,primary,600,600,http://api.discogs.com/image/L-150-1000-1351783568-4179.jpeg
1000,http://api.discogs.com/image/L-1000-1175669293.jpeg,secondary,698,533,http://api.discogs.com/image/L-150-1000-1175669293.jpeg
