addr,city,class,name,phone,type
10801 w pico blvd,west la,534.0,apple pan the,3104753585.0,american
2027 sawtelle blvd,west la,535.0,asahi ramen,3104792231.0,noodle shops
3345 kimber dr,westlake village,536.0,baja fresh,8054984049.0,mexican
9882 little santa monica blvd,beverly hills,537.0,belvedere the,3107882306.0,pacific new wave
1433 third st promenade,santa monica,538.0,benita s frites,3104582889.0,fast food
515 s olive st,los angeles,539.0,bernard s,2136121580.0,continental
45 s mentor ave,pasadena,540.0,bistro 45,8187952478.0,californian
19565 parthenia ave,northridge,541.0,brent s deli,8188865679.0,delis
9600 brighton way,beverly hills,542.0,brighton coffee shop,3102767732.0,coffee shops
1570 rosecrans ave s,pasadena,543.0,bristol farms market cafe,3106435229.0,californian
3838 centinela ave,mar vista,544.0,bruno s,3103975703.0,italian
838 lincoln blvd,venice,545.0,cafe 50s,3103991955.0,american
9777 little santa monica blvd,beverly hills,546.0,cafe blanc,3108880108.0,pacific new wave
3266 w sixth st,la,547.0,cassell s,2134808668.0,hamburgers
1716 pch,redondo beach,548.0,chez melange,3105401222.0,eclectic
1020 n san vicente blvd,w hollywood,549.0,diaghilev,3108541111.0,russian
1136 westwood blvd,westwood,550.0,don antonio s,3102091422.0,italian
8909 sunset blvd,w hollywood,551.0,duke s,3106523100.0,coffee shops
1059 broxton ave,westwood,552.0,falafel king,3102084444.0,middle eastern
1949 westwood blvd,west la,553.0,feast from the east,3104750400.0,chinese
6333 w third st,la,554.0,gumbo pot the,2139330358.0,cajuncreole
6145 franklin ave,hollywood,555.0,hollywood hills coffee shop,2134677678.0,coffee shops
10428 12 national blvd,la,556.0,indo cafe,3108151290.0,indonesian
8424 beverly blvd,la,557.0,jan s family restaurant,2136512866.0,coffee shops
502 santa monica blvd,santa monica,558.0,jiraffe,3109176671.0,californian
2011 ocean front walk,venice,559.0,jody maroni s sausage kingdom,3103061995.0,hot dogs
1023 abbot kinney blvd,venice,560.0,joe s,3103995811.0,american new
10516 w pico blvd,west la,561.0,john o groats,3102040692.0,coffee shops
4017 s sepulveda blvd,culver city,562.0,johnnie s pastrami,3103976654.0,delis
4663 long beach blvd,long beach,563.0,johnny reb s southern smokehouse,3104237327.0,southernsoul
7507 melrose ave,la,564.0,johnny rockets la,2136513361.0,american
4000 colfax ave,studio city,565.0,killer shrimp,8185081570.0,seafood
6333 w third st,la,566.0,kokomo cafe,2139330773.0,american
8393 w beverly blvd,la,567.0,koo koo roo,2136559045.0,chicken
10506 little santa monica blvd,century city,568.0,la cachette,3104704992.0,french new
22800 pch,malibu,569.0,la salsa la,3104566299.0,mexican
1842 e first,st boyle hts,570.0,la serenata de garibaldi,2132652887.0,mexicantexmex
704 s alvarado st,la,571.0,langer s,2134838050.0,delis
30869 thousand oaks blvd,westlake village,572.0,local nochol,8187067706.0,health food
10509 w pico blvd,rancho park,573.0,main course the,3104757564.0,american
519 s fairfax ave,la,574.0,mani s bakery espresso bar,2139388800.0,desserts
22nd street grill 25 22nd,st hermosa beach,575.0,martha s,3103767786.0,american
13329 washington blvd,marina del rey,576.0,maxwell s cafe,3103067829.0,american
1147 third st,santa monica,577.0,michael s los angeles,3104510843.0,californian
8474 w third st,la,578.0,mishima,2137820181.0,noodle shops
7261 melrose ave,la,579.0,mo better meatty meat,2139355280.0,hamburgers
17040 ventura blvd,encino,580.0,mulberry st,8189068881.0,pizza
3117 ocean park blvd,santa monica,581.0,ocean park cafe,3104525728.0,american
145 n atlantic blvd,monterey park,582.0,ocean star,8183082128.0,seafood
875 s figueroa st downtown,la,583.0,original pantry bakery,2136276879.0,diners
510 s arroyo pkwy,pasadena,584.0,parkway grill,8187951001.0,californian
642 broadway,chinatown,585.0,pho hoa,2136265530.0,vietnamese
709 n la brea ave,la,586.0,pink s famous chili dogs,2139314223.0,hot dogs
2635 w olive ave,burbank,587.0,poquito mas,8185632252.0,mexican
923 e third st,los angeles,588.0,r23,2136877178.0,japanese
2901 pico blvd,santa monica,589.0,rae s,3108287937.0,diners
15322 ventura blvd,encino,590.0,rubin s red hots,8189056515.0,hot dogs
45 s fair oaks ave,pasadena,591.0,ruby s la,8187967829.0,diners
1198 pch,seal beach,592.0,russell s burgers,3105969556.0,hamburgers
224 s beverly dr,beverly hills,593.0,ruth s chris steak house los angeles,3108598744.0,steakhouses
1505 mission st s,pasadena,594.0,shiro,8187994774.0,pacific new wave
11288 ventura blvd,studio city,595.0,sushi nozawa,8185087017.0,japanese
8360 melrose ave,la,596.0,sweet lady jane,2136537145.0,desserts
11677 san vicente blvd,brentwood,597.0,taiko,3102077782.0,noodle shops
2575 beverly blvd,la,598.0,tommy s,2133899060.0,hamburgers
1305 highland ave,manhattan beach,599.0,uncle bill s pancake house,3105455177.0,diners
544 s grand ave,los angeles,600.0,water grill,2138910900.0,seafood
1415 e colorado st,glendale,601.0,zankou chicken,8182441937.0,middle eastern
764 ninth ave,new york city,602.0,afghan kebab house,2123071612.0,afghan
21 e 62nd st,new york city,603.0,arcadia,2122232900.0,american new
93 ave a,new york city,604.0,benny s burritos,2122542054.0,mexican
424 amsterdam ave,new york city,605.0,cafe con leche,2125957000.0,cuban
331 w fourth st,new york city,606.0,corner bistro,2122429502.0,hamburgers
368 bleecker st,new york city,607.0,cucina della fontana,2122420636.0,italian
87 e fourth st,new york city,608.0,cucina di pesce,2122606800.0,seafood
44 w 56th st,new york city,609.0,darbar,2124327227.0,indian
432 sixth ave,new york city,610.0,ej s luncheonette,2124735555.0,diners
228 w 47th st,new york city,611.0,edison cafe,2128405000.0,diners
2402 31st st,queens,612.0,elias corner,7189321510.0,greek
483 amsterdam ave,new york city,613.0,good enough to eat,2124960163.0,american
2090 broadway,new york city,614.0,gray s papaya,2127990243.0,hot dogs
86 w third st,new york city,615.0,il mulino,2126733783.0,italian
3703 74th st,queens,616.0,jackson diner,7186721232.0,indian
9 pell st,queens,617.0,joe s shanghai,7185393838.0,chinese
48 w 65th st,new york city,618.0,john s pizzeria,2127217001.0,pizza
127 greene st,new york city,619.0,kelley ping,2122281212.0,panasian
117 second ave,new york city,620.0,kiev,2126744040.0,ukrainian
2nd fl,new york city,621.0,kuruma zushi,2123172802.0,japanese
2199 broadway,new york city,622.0,la caridad,2128742780.0,cuban
3 e 52nd st,new york city,623.0,la grenouille,2127521495.0,french classic
61a seventh ave,brooklyn,624.0,lemongrass grill,7183997100.0,thai
32 spring st,new york city,625.0,lombardi s,2129417994.0,pizza
466 hudson st,new york city,626.0,marnie s noodle shop,2127413214.0,asian
39 w 55th st,new york city,627.0,menchankotei,2122471585.0,japanese
296 bleecker st,new york city,628.0,mitali eastwest,2129891367.0,indian
435 amsterdam ave,new york city,629.0,monsoon ny,2125808686.0,thai
405 atlantic ave,brooklyn,630.0,moustache,7188525555.0,middle eastern
105 hudson st,new york city,631.0,nobu,2122190500.0,japanese
17 barrow st,new york city,632.0,one if by land tibs,2122280822.0,continental
lower level,new york city,633.0,oyster bar,2124906650.0,seafood
837 second ave,new york city,634.0,palm,2126872953.0,steakhouses
840 second ave,new york city,635.0,palm too,2126975198.0,steakhouses
