id,release_count,first_release_date_year,first_release_date_month,first_release_date_day,rating,rating_count
1240775,1,2013,1,22,100,1
405704,1,,,,,
994935,1,1992,,,,
736067,1,2006,9,1,,
467166,1,2001,4,24,,
279221,1,1991,,,,
290603,1,2003,12,,,
420117,1,1998,,,,
372560,3,1994,,,,
553843,6,1976,,,,
158674,2,2006,10,13,,
1274460,1,2013,6,4,,
965378,1,1995,1,,,
1131080,1,2009,3,,,
974526,1,1999,,,,
219214,1,,,,,
875011,1,2008,,,,
699647,1,2001,,,,
10239,1,,,,,
652840,1,2006,11,,,
663961,1,1995,6,6,100,1
172343,1,2001,7,10,,
975024,1,,,,,
775701,1,2000,,,,
1127687,1,2011,12,1,,
528897,1,2003,1,20,,
1050044,1,2010,12,13,100,1
608606,1,2005,3,,,
1264992,1,2013,4,1,,
166313,1,1995,,,,
44405,1,1996,10,22,,
1195907,1,2012,6,8,,
1056725,1,2007,9,14,,
1178856,1,2009,,,,
903101,1,,,,,
915846,1,2009,6,,,
1006547,1,2006,12,5,,
909996,1,1990,,,,
651744,1,2006,,,,
252270,1,,,,,
206971,1,,,,,
774341,1,,,,,
1106693,1,,,,,
265558,1,,,,,
756173,1,1997,,,,
524808,1,1999,,,,
412350,1,2005,9,13,,
816262,1,1968,,,,
1200610,1,2006,9,10,,
1292853,1,2009,,,,
