artist,tag,count,last_updated
985,7,1,2011-05-16 16:57:06.530063+02
985,88,1,2011-05-16 16:57:06.530063+02
985,171,1,2011-05-16 16:57:06.530063+02
985,237,2,2011-05-16 16:57:06.530063+02
985,1391,1,2011-05-16 16:57:06.530063+02
985,1753,1,2011-05-16 16:57:06.530063+02
985,4663,1,2011-05-16 16:57:06.530063+02
136847,88,1,2013-07-25 19:25:55.582609+02
136847,617,1,2013-07-25 19:25:55.582609+02
136847,2496,1,2013-03-20 17:00:25.116457+01
55290,43,1,2012-08-08 08:50:14.980416+02
55290,271,1,2012-08-08 08:50:14.980416+02
60661,69,1,2011-05-16 16:57:06.530063+02
60661,92,1,2011-05-16 16:57:06.530063+02
60661,504,1,2011-05-16 16:57:06.530063+02
57588,71,1,2012-08-11 22:57:55.820935+02
57588,4664,1,2011-05-16 16:57:06.530063+02
41994,7,1,2011-05-16 16:57:06.530063+02
41994,43,4,2012-08-08 08:54:22.387061+02
41994,92,2,2011-05-16 16:57:06.530063+02
41994,171,3,2011-05-16 16:57:06.530063+02
41994,237,1,2011-05-16 16:57:06.530063+02
41994,271,1,2011-05-16 16:57:06.530063+02
41994,745,4,2012-08-08 08:54:22.387061+02
132349,42,1,2011-05-16 16:57:06.530063+02
20422,72,1,2011-05-16 16:57:06.530063+02
20422,340,2,2011-05-16 16:57:06.530063+02
20422,1290,1,2011-05-16 16:57:06.530063+02
20422,1371,1,2011-05-16 16:57:06.530063+02
20422,1600,1,2011-05-16 16:57:06.530063+02
20422,4669,1,2011-05-16 16:57:06.530063+02
51778,72,1,2011-05-16 16:57:06.530063+02
1104,41,2,2011-05-16 16:57:06.530063+02
1104,43,3,2012-08-07 10:26:58.008205+02
1104,61,1,2011-05-16 16:57:06.530063+02
1104,91,9,2012-12-19 23:31:38.350451+01
1104,92,6,2012-12-19 23:31:38.350451+01
1104,111,5,2011-05-16 16:57:06.530063+02
1104,767,1,2011-05-16 16:57:06.530063+02
1104,1074,5,2012-08-07 10:26:58.008205+02
1104,1887,1,2011-05-16 16:57:06.530063+02
1104,3752,1,2011-05-16 16:57:06.530063+02
1104,3753,1,2011-05-16 16:57:06.530063+02
1104,3754,1,2011-05-16 16:57:06.530063+02
1104,3755,1,2011-05-16 16:57:06.530063+02
1104,3756,1,2011-05-16 16:57:06.530063+02
1104,3839,1,2011-05-16 16:57:06.530063+02
1104,4280,1,2011-05-16 16:57:06.530063+02
1104,4283,1,2011-05-16 16:57:06.530063+02
1104,4662,1,2011-05-16 16:57:06.530063+02
1104,27127,1,2011-05-28 23:01:58.672989+02
1104,37020,1,2011-05-28 23:01:58.672989+02
1104,48364,1,2012-07-19 11:56:50.89447+02
153623,120,1,2011-05-16 16:57:06.530063+02
31507,150,1,2012-01-15 21:53:35.490513+01
31507,235,1,2012-04-05 11:01:39.929771+02
31507,553,1,2011-05-16 16:57:06.530063+02
31507,1915,1,2012-01-15 21:53:35.490513+01
31507,2767,1,2011-05-16 16:57:06.530063+02
31507,2976,2,2012-01-15 21:53:35.490513+01
397,7,1,2011-05-16 16:57:06.530063+02
397,20,1,2011-05-16 16:57:06.530063+02
397,88,1,2011-05-16 16:57:06.530063+02
397,111,1,2011-05-16 16:57:06.530063+02
397,133,1,2011-05-16 16:57:06.530063+02
397,221,1,2011-05-16 16:57:06.530063+02
397,267,1,2011-05-16 16:57:06.530063+02
397,273,1,2011-05-16 16:57:06.530063+02
397,402,1,2011-05-16 16:57:06.530063+02
397,1102,1,2011-05-16 16:57:06.530063+02
45573,533,2,2013-01-30 23:01:40.950898+01
51840,10,2,2012-12-25 09:36:24.839966+01
51840,185,1,2012-12-25 09:36:24.839966+01
51840,207,1,2012-07-30 08:57:08.072838+02
51840,4666,1,2012-01-21 13:00:30.556709+01
51840,8217,1,2013-07-17 07:48:39.098424+02
10293,15,2,2011-05-16 16:57:06.530063+02
10293,359,1,2011-05-16 16:57:06.530063+02
10293,638,2,2011-05-16 16:57:06.530063+02
10293,670,2,2013-01-16 01:07:07.498668+01
10293,1284,1,2011-05-16 16:57:06.530063+02
10293,1600,1,2011-05-16 16:57:06.530063+02
10293,8310,1,2011-05-16 16:57:06.530063+02
10293,48834,1,2012-07-23 00:05:58.039481+02
965,7,1,2011-05-16 16:57:06.530063+02
965,271,2,2012-08-10 08:23:39.089345+02
965,712,1,2011-05-16 16:57:06.530063+02
965,720,2,2012-08-10 08:23:39.089345+02
965,781,1,2011-05-16 16:57:06.530063+02
965,4662,1,2011-05-16 16:57:06.530063+02
45914,359,1,2011-05-16 16:57:06.530063+02
219729,479,2,2011-05-16 16:57:06.530063+02
1,7,2,2013-09-18 22:03:10.347486+02
1,15,6,2013-09-18 22:03:10.347486+02
1,19,4,2013-09-18 22:03:10.347486+02
1,27,1,2013-09-18 22:03:10.347486+02
1,48,1,2013-09-18 22:03:10.347486+02
1,49,1,2013-09-18 22:03:10.347486+02
1,57,2,2013-09-18 22:03:10.347486+02
1,62,1,2013-09-18 22:03:10.347486+02
1,71,3,2013-09-18 22:03:10.347486+02
1,75,2,2013-09-18 22:03:10.347486+02
1,92,1,2013-09-18 22:03:10.347486+02
1,100,1,2013-09-18 22:03:10.347486+02
1,127,3,2013-09-18 22:03:10.347486+02
1,156,1,2013-09-18 22:03:10.347486+02
1,159,2,2013-09-18 22:03:10.347486+02
1,197,1,2013-09-18 22:03:10.347486+02
1,206,1,2013-09-18 22:03:10.347486+02
1,235,1,2013-09-18 22:03:10.347486+02
1,260,2,2013-09-18 22:03:10.347486+02
1,267,2,2013-09-18 22:03:10.347486+02
1,276,1,2013-09-18 22:03:10.347486+02
1,374,1,2013-09-18 22:03:10.347486+02
1,399,1,2013-09-18 22:03:10.347486+02
1,447,1,2013-09-18 22:03:10.347486+02
1,480,1,2013-09-18 22:03:10.347486+02
1,516,1,2013-09-18 22:03:10.347486+02
1,537,1,2013-09-18 22:03:10.347486+02
1,618,1,2013-09-18 22:03:10.347486+02
1,665,1,2013-09-18 22:03:10.347486+02
1,675,2,2013-09-18 22:03:10.347486+02
1,686,1,2013-09-18 22:03:10.347486+02
1,712,1,2013-09-18 22:03:10.347486+02
1,719,1,2013-09-18 22:03:10.347486+02
1,844,1,2013-09-18 22:03:10.347486+02
1,991,1,2013-09-18 22:03:10.347486+02
1,993,1,2013-09-18 22:03:10.347486+02
1,1056,1,2013-09-18 22:03:10.347486+02
1,1164,1,2013-09-18 22:03:10.347486+02
1,1281,1,2013-09-18 22:03:10.347486+02
1,1343,1,2013-09-18 22:03:10.347486+02
1,1371,2,2013-09-18 22:03:10.347486+02
1,1393,1,2013-09-18 22:03:10.347486+02
1,1440,1,2013-09-18 22:03:10.347486+02
1,1584,1,2013-09-18 22:03:10.347486+02
1,1587,1,2013-09-18 22:03:10.347486+02
1,1666,1,2013-09-18 22:03:10.347486+02
1,1772,1,2013-09-18 22:03:10.347486+02
1,1777,1,2013-09-18 22:03:10.347486+02
1,2143,1,2013-09-18 22:03:10.347486+02
1,2397,1,2013-09-18 22:03:10.347486+02
1,2496,1,2013-09-18 22:03:10.347486+02
1,3475,1,2013-09-18 22:03:10.347486+02
1,3819,1,2013-09-18 22:03:10.347486+02
1,4175,1,2013-09-18 22:03:10.347486+02
1,4422,1,2013-09-18 22:03:10.347486+02
1,4425,1,2013-09-18 22:03:10.347486+02
1,4585,1,2013-09-18 22:03:10.347486+02
1,4816,1,2013-09-18 22:03:10.347486+02
1,4914,1,2013-09-18 22:03:10.347486+02
1,5165,2,2013-09-18 22:03:10.347486+02
1,5948,1,2013-09-18 22:03:10.347486+02
1,6076,1,2013-09-18 22:03:10.347486+02
1,6411,1,2013-09-18 22:03:10.347486+02
1,6899,2,2013-09-18 22:03:10.347486+02
1,7144,1,2013-09-18 22:03:10.347486+02
1,7173,1,2013-09-18 22:03:10.347486+02
1,7455,1,2013-09-18 22:03:10.347486+02
1,7796,1,2013-09-18 22:03:10.347486+02
1,7860,1,2013-09-18 22:03:10.347486+02
1,7879,1,2013-09-18 22:03:10.347486+02
1,7885,1,2013-09-18 22:03:10.347486+02
1,7918,1,2013-09-18 22:03:10.347486+02
1,8110,1,2013-09-18 22:03:10.347486+02
1,8130,1,2013-09-18 22:03:10.347486+02
1,8291,1,2013-09-18 22:03:10.347486+02
1,8361,1,2013-09-18 22:03:10.347486+02
1,8410,1,2013-09-18 22:03:10.347486+02
1,8491,1,2013-09-18 22:03:10.347486+02
1,21223,1,2013-09-18 22:03:10.347486+02
1,21270,1,2013-09-18 22:03:10.347486+02
1,21294,1,2013-09-18 22:03:10.347486+02
1,21581,1,2013-09-18 22:03:10.347486+02
1,21582,1,2013-09-18 22:03:10.347486+02
1,21803,1,2013-09-18 22:03:10.347486+02
1,21804,1,2013-09-18 22:03:10.347486+02
1,21863,1,2013-09-18 22:03:10.347486+02
1,22043,1,2013-09-18 22:03:10.347486+02
