,,
14,14,"define('DOING_AJAX', true);"
15,15,"define('WP_ADMIN', true);"
16,16,
17,,if ( ! isset( $_REQUEST['action'] ) )
18,,die('-1');
,17,// Require an action parameter
,18,if ( empty($_REQUEST['action']) )
,19,die('-1');
19,20,
,21,// Load libraries
20,22,require_once('../wp-load.php');
21,,
22,23,require_once('./includes/admin.php');
,24,require_once('./includes/ajax-actions.php');
23,25,@header('Content-Type: text/html; charset=' . get_option('blog_charset'));
24,26,send_nosniff_header();
25,27,
26,,do_action('admin_init');
,28,// Handle ajax actions
,29,do_action( 'admin_init' );
27,30,
28,,if ( ! is_user_logged_in() ) {
,31,$core_actions = array(
,32,"'fetch-list', 'ajax-tag-search', 'compression-test', 'imgedit-preview',"
,33,"'menu-quick-search', 'oembed_cache', 'image-editor', 'delete-comment',"
,34,"'delete-tag', 'delete-link', 'delete-meta', 'delete-post', 'trash-post',"
,35,"'untrash-post', 'delete-page', 'dim-comment', 'add-link-category', 'add-tag',"
,36,"'get-tagcloud', 'get-comments', 'replyto-comment', 'edit-comment', 'add-menu-item',"
,37,"'add-meta', 'add-user', 'autosave', 'closed-postboxes', 'hidden-columns',"
,38,"'update-welcome-panel', 'menu-get-metabox', 'wp-link-ajax', 'menu-locations-save',"
,39,"'meta-box-order', 'get-permalink', 'sample-permalink', 'inline-save', 'inline-save-tax',"
,40,"'find_posts', 'widgets-order', 'save-widget', 'set-post-thumbnail', 'date_format',"
,41,"'time_format', 'wp-fullscreen-save-post', 'wp-remove-post-lock', 'dismiss-wp-pointer',"
,42,);
29,43,
30,,if ( isset( $_POST['action'] ) && $_POST['action'] == 'autosave' ) {
31,,$id = isset($_POST['post_ID'])? (int) $_POST['post_ID'] : 0;
32,,
33,,if ( ! $id )
34,,die('-1');
35,,
36,,"$message = sprintf( __(' <strong>ALERT: You are logged out!</strong> Could not save draft. Please log in again.'), wp_login_url() );"
37,,$x = new WP_Ajax_Response( array(
38,,"'what' => 'autosave',"
39,,"'id' => $id,"
40,,'data' => $message
41,,) );
42,,$x->send();
43,,}
44,,
45,,if ( !empty( $_REQUEST['action'] ) )
46,,do_action( 'wp_ajax_nopriv_' . $_REQUEST['action'] );
47,,
48,,die('-1');
,44,foreach ( $core_actions as $action ) {
,45,"$callback = str_replace( '-', '_', $action );"
,46,"add_action( 'wp_ajax_' . $action, 'wp_ajax_' . $callback, 1 );"
49,47,}
,48,"unset( $core_actions, $action, $callback );"
50,49,
51,,if ( isset( $_GET['action'] ) ) :
52,,switch ( $action = $_GET['action'] ) :
53,,case 'fetch-list' :
,50,"add_action( 'wp_ajax_nopriv_autosave', 'wp_ajax_nopriv_autosave', 1 );"
54,51,
55,,$list_class = $_GET['list_args']['class'];
56,,"check_ajax_referer( ""fetch-list-$list_class"", '_ajax_fetch_list_nonce' );"
,52,if ( is_user_logged_in() )
,53,"do_action( 'wp_ajax_' . $_REQUEST['action'], $_REQUEST['action'] ); // Authenticated actions"
,54,else
,55,"do_action( 'wp_ajax_nopriv_' . $_REQUEST['action'], $_REQUEST['action'] ); // Non-admin actions"
57,56,
58,,$current_screen = convert_to_screen( $_GET['list_args']['screen']['id'] );
59,,
60,,"define( 'WP_NETWORK_ADMIN', $current_screen->is_network );"
61,,"define( 'WP_USER_ADMIN', $current_screen->is_user );"
62,,
63,,$wp_list_table = _get_list_table( $list_class );
64,,if ( ! $wp_list_table )
65,,die( '0' );
66,,
67,,if ( ! $wp_list_table->ajax_user_can() )
68,,die( '-1' );
69,,
70,,$wp_list_table->ajax_response();
71,,
72,,die( '0' );
73,,break;
74,,case 'ajax-tag-search' :
75,,if ( isset( $_GET['tax'] ) ) {
76,,$taxonomy = sanitize_key( $_GET['tax'] );
77,,$tax = get_taxonomy( $taxonomy );
78,,if ( ! $tax )
79,,die( '0' );
80,,if ( ! current_user_can( $tax->cap->assign_terms ) )
81,,die( '-1' );
82,,} else {
83,,die('0');
84,,}
85,,
86,,$s = stripslashes( $_GET['q'] );
87,,
88,,"if ( false !== strpos( $s, ',' ) ) {"
89,,"$s = explode( ',', $s );"
90,,$s = $s[count( $s ) - 1];
91,,}
92,,$s = trim( $s );
93,,if ( strlen( $s ) < 2 )
94,,die; // require 2 chars for matching
95,,
96,,"$results = $wpdb->get_col( $wpdb->prepare( ""SELECT t.name FROM $wpdb->term_taxonomy AS tt INNER JOIN $wpdb->terms AS t ON tt.term_id = t.term_id WHERE tt.taxonomy = %s AND t.name LIKE (%s)"", $taxonomy, '%' . like_escape( $s ) . '%' ) );"
97,,
98,,"echo join( $results, ""\n"" );"
99,,die;
100,,break;
101,,case 'wp-compression-test' :
102,,if ( !current_user_can( 'manage_options' ) )
103,,die('-1');
104,,
105,,if ( ini_get('zlib.output_compression') || 'ob_gzhandler' == ini_get('output_handler') ) {
106,,"update_site_option('can_compress_scripts', 0);"
107,,die('0');
108,,}
109,,
110,,if ( isset($_GET['test']) ) {
111,,"header( 'Expires: Wed, 11 Jan 1984 05:00:00 GMT' );"
112,,"header( 'Last-Modified: ' . gmdate( 'D, d M Y H:i:s' ) . ' GMT' );"
113,,"header( 'Cache-Control: no-cache, must-revalidate, max-age=0' );"
114,,header( 'Pragma: no-cache' );
115,,header('Content-Type: application/x-javascript; charset=UTF-8');
116,,$force_gzip = ( defined('ENFORCE_GZIP') && ENFORCE_GZIP );
