articleid,title,volume,number,pages,month,year,refkey,note,remarks,references_,xxxreferences,fullxxxreferences,oldkey,abstract,preliminary
KleijnR82,"Corrigendum: Sequential, Continuous and Parallel Grammars",52,3,364,mar,1982,,,,KleijnR1981:221,,,,,
BergstraT82,The Completeness of the Algebraic Specification Methods for Computable Data Types,54,3,186--200,sep,1982,,,,"Sicomp::BergstraT1983, actai::GuttagH1978 ieeetse::LiskovZ1975, jcss::Wand1979, mfcs::WirsingB1980 mfcs::GiarratanaGM1976",,,,,
RivestS82,How to Reuse a ``Write-Once'' Memory,55,1--3,1--19,oct # ?/? # nov # ?/? # dec,1982,,,,,,,,,STOC::RivestS1982
NeuhoffS82,Channel Distances and Representation,55,1--3,238--264,oct # ?/? # nov # ?/? # dec,1982,,,,,,,,,
GolsonR83,Connections Between Two Theories of Concurrency: Metric Spaces and Synchronization Trees,57,2/3,102--124,may # ?/? # jun,1983,,,,"tcs::ArnoldN1980, IC::BakkerZ1982",,,,,
GianniniL84,Effectively Given Domains and Lambda-Calculus Models,62,1,36--63,jul,1984,,,,,,,,,
GoudaMY84,On the Progress of Communications between Two Finite State Machines,63,3,200--216,dec,1984,,,,,,,,,
GrantM85,Normalization and Axiomatization for Numerical Dependencies,65,1,1--17,apr,1985,,,,,,,,,
HartmanisIS85,Sparse Sets in {NP-P}: {EXPTIME} versus {NEXPTIME},65,2/3,158--181,may # ?/? # jun,1985,,,,,,,,,
AfratiPP85,The Complexity of Cubical Graphs,66,1/2,53--60,jul # ?/? # aug,1985,,,,,,,,,
Kutylowski87,A Generalized {Grzegorczyk} Hierarchy and Low Complexity Classes,72,2,133--149,feb,1987,,,,,,,,,
EngelfrietV87,Look-Ahead on Pushdowns,73,3,245--279,jun,1987,,,,,,,,,
Welch87,Simulating Synchronous Processors,74,2,159--170,aug,1987,,,,,,,,,
Bracha87,Asynchronous {Byzantine} Agreement Protocols,75,2,130--143,nov,1987,,,,,,,,,
EdelsbrunnerP88,Minimum Polygonal Separation,77,3,218--232,jun,1988,,,,,,,,,
SannellaT88,Specifications in an Arbitrary Institution,76,2/3,165--210,feb # ?/? # mar,1988,,,,,,,,"A formalism for constructing and using axiomatic specifications in an arbitrary logical system is presented.  This builds on the framework provided by Goguen and Burstall's work on the notion of an institution as a formalisation of the concept of a logical system for writing specifications.  We show how to introduce free variables into the sentences of an arbitrary institution and how to add quantifiers which bind them.  We use this foundation to define a set of primitive operations for building specifications in an arbitrary institution based loosely on those in the ASL kernel specification language.  We examine the set of operations which results when the definitions are instantiated in institutions of total and partial first-order logic and compare these with the operations found in existing specification languages.  We present proof rules which allow proofs to be conducted in specifications built using the operations we define.  Finally, we introduce a simple mechanism for defining and applying parameterised specifications and briefly discuss the program development process.",
LampsonB88,"Pebble, a Kernel Language for Modules and Abstract Data Types",76,2/3,278--346,feb # ?/? # mar,1988,,,,,,,,,
JouannaudK89,Automatic Proofs by Induction in Theories without Constructors,82,1,1--33,jul,1989,,,,,"BergstraK84, Dershowitz85",,,,
